sha,date,kind,message,files,n_lines,reverts_cleanly,development_set
c8af9244,2025-07-15,cpp,Fix uninitialized ThrottlePos in FGTurbine (#1297),src/models/propulsion/FGTurbine.cpp,3,True,False
20066483,2025-04-15,cpp,Fix `FGTurbine` to update the thruster inputs before calling `FGThruster::Calculate` (#1259),src/models/propulsion/FGTurbine.cpp,3,True,False
1dc9e111,2024-11-24,cpp,Fix bounds checks in FGFCS (#1191),src/models/FGFCS.cpp,18,False,False
5ad2694c,2024-02-10,cpp,Fix a mistake in vPQRdot calculation (#1036),src/models/FGAccelerations.cpp,8,True,True
44469113,2023-11-26,model,Fixed another syntax problem in systems/hydrodynamics.xml.,systems/hydrodynamics.xml,4,True,False
2f9d7a2a,2023-11-26,model,Fixed syntax problems in systems/hydrodynamics.xml.,systems/hydrodynamics.xml,10,True,False
ece80216,2023-11-26,model,Fixed syntax problems in systems/hydrodynamic-planing.xml and systems/hydrodynamic-planing-floats.xml.,systems/hydrodynamic-planing-floats.xml;systems/hydrodynamic-planing.xml,12,True,False
ae318dea,2023-02-03,model,Fix roll autopilot command name in C172x,aircraft/c172x/c172x.xml,5,False,False
464e5915,2022-06-18,cpp,Temporary fix for issue #654.,src/models/FGGasCell.cpp,4,True,False
95e5a16b,2022-04-17,model,Fix the systems files to pass the XML validation.,systems/FCS-yaw.xml;systems/GNCUtilities.xml;systems/SensorImu.xml;systems/airship-mooring.xml;systems/airship_added_mass.xml;systems/fg_glue.xml;systems/hydrodynamics.xml;systems/sperry-a2-autopilot.xml;systems/visual-reference-point-extensions.xml,129,True,False
4585ddd7,2022-03-19,cpp,Minor fixes and cosmetic changes.,src/math/FGTable.cpp;src/math/FGTable.h,45,False,False
9e344564,2022-01-20,cpp,Fix errors in FGBrushlessDCMotor (#570),src/models/propulsion/FGBrushLessDCMotor.cpp,9,False,False
29904e51,2021-12-28,cpp,Bug fix for issue #553,src/initialization/FGInitialCondition.cpp,31,False,False
