script,aircraft,ok,error,sim_end_s,wall_s,samples,h_max_ft,vc_max_kts,h_agl_end_ft,lat_span_deg
737_cruise.xml,737,True,,100.0,0.1,101,30077.0,285.0,30077.0,0.138
737_cruise_steady_turn.xml,737,True,,100.0,0.1,101,25117.0,310.0,25117.0,0.083
737_cruise_steady_turn_linearize.xml,737,True,,10.0,0.1,11,25000.0,310.0,24969.0,0.02
737_cruise_steady_turn_simplex.xml,737,False,"run: No property, ""simulation/do_simplex_trim"" is defined.
",0.1,0.0,1,25000.0,310.0,25000.0,0.0
737_test.xml,737,True,,1.0,0.0,2,30000.0,296.0,30000.0,0.002
B737_Runway.xml,737,True,,100.0,0.1,101,4.0,114.0,4.0,0.009
B747_script1.xml,B747,True,,700.0,0.6,701,16362.0,502.0,16282.0,1.41
Concorde_rotate_test.xml,Concorde,True,,100.0,0.2,101,11.0,60.0,11.0,0.011
Concorde_runway_test.xml,Concorde,True,,90.0,0.2,91,11.0,36.0,11.0,0.001
F4N_runway_test.xml,F4N,True,,90.0,0.1,91,4.0,93.0,4.0,0.005
J2460.xml,J246,True,,420.0,0.4,421,143.0,0.0,143.0,0.0
J2461.xml,J246,True,,420.0,0.4,421,749775.0,515.0,703791.0,0.222
L410.xml,L410,True,,10.0,0.1,11,2007.0,0.0,7.0,0.0
L4102.xml,L410,True,,10.0,0.2,11,2007.0,0.0,7.0,0.0
Short_S23_1.xml,Short_S23,True,,200.0,7.6,201,1085.0,105.0,1089.0,0.028
Short_S23_2.xml,Short_S23,True,,300.0,11.6,301,6124.0,165.0,6124.0,0.228
Short_S23_3.xml,Short_S23,True,,300.0,11.0,301,6005.0,182.0,6005.0,0.266
Short_S23_4.xml,Short_S23,True,,800.0,31.7,801,9641.0,119.0,9641.0,0.434
Submarine_Scout_1.xml,Submarine_Scout,True,,480.1,2.8,481,1284.0,31.0,1284.0,0.061
T37.xml,T37,True,,100.0,0.1,101,1472.0,204.0,1472.0,0.042
T38.xml,T38,True,,100.0,0.1,101,6.0,434.0,3.0,0.072
Test_F450_Launch.xml,F450,True,,30.0,0.1,31,1871.0,19.0,620.0,0.001
ZLT-NT-moored-1.xml,ZLT-NT,True,,240.0,3.6,241,52.0,18.0,19.0,0.0
ah1s_flight_test.xml,ah1s,True,,2800.1,5.5,2808,8047.0,178.0,2731.0,1.913
b171.xml,B17,True,,20.0,0.0,21,8.0,0.0,8.0,0.0
b737_runway_new.xml,737,True,,90.0,0.1,91,4.0,39.0,4.0,0.001
ball.xml,ball,True,,10800.0,3.1,10801,800000.0,0.0,799816.0,0.0
ball_chute.xml,ball,True,,117.7,0.1,118,11613.0,412.0,30.0,0.031
ball_orbit.xml,ball,True,,10800.0,6.2,10801,800000.0,0.0,799816.0,0.0
ball_orbit_g_torque.xml,ball,True,,10800.0,6.3,10801,800000.0,0.0,799816.0,0.0
ball_orbit_phase.xml,ball,True,,11000.0,7.3,11001,1434012.0,0.0,1312430.0,103.384
c1721.xml,c172r,True,,10.0,0.0,11,4.0,0.0,4.0,0.0
c1722.xml,c172x,True,,200.0,0.3,201,4000.0,107.0,899.0,0.083
c1723.xml,c172x,True,,200.0,0.3,201,1623.0,61.0,1623.0,0.034
c1724.xml,c172x,True,,20.0,0.0,21,4.0,0.0,4.0,0.0
c172_cross_wind.xml,c172x,True,,25.0,0.1,26,4.0,3.0,4.0,0.0
c172_cruise_8K.xml,c172x,True,,40.0,0.1,91,4038.0,111.0,4014.0,0.017
c172_elevation_test.xml,c172x,True,,0.0,3.2,2401,5536.0,75.0,2036.0,0.06
c172_elevator_doublet.xml,c172x,True,,40.0,0.1,41,2169.0,122.0,1624.0,0.006
c172_head_wind.xml,c172x,True,,25.0,0.1,26,4.0,5.0,4.0,0.0
c172_runway_at_rest_cg_shift.xml,c172x,True,,5.0,0.0,6,5.0,0.0,4.0,0.0
c3101.xml,c310,True,,140.0,0.2,141,6.0,103.0,5.0,0.027
c3104.xml,c310,True,,1898.5,1.2,1899,1039.0,195.0,974.0,0.6
c3105.xml,c310,True,,2248.1,3.5,2249,1034.0,178.0,14.0,0.586
cannonball.xml,ball,False,NaN in output,800.0,0.3,801,128596.0,1709.0,,0.174
f16_runway_test.xml,f16,True,,80.0,0.1,81,6.0,47.0,5.0,0.0
f16_test.xml,f16,True,,700.0,1.1,701,12633.0,758.0,5.0,0.378
mk82_script.xml,mk82,True,,43.5,0.0,44,10969.0,436.0,316.0,0.02
ov10_runway.xml,OV10,True,,90.0,0.1,91,4.0,28.0,4.0,0.001
p51_start_test.xml,p51d,True,,100.0,0.2,101,6.0,11.0,5.0,0.0
p51d_tail_wind.xml,p51d,True,,30.0,0.1,31,6.0,12.0,6.0,0.0
paraglider_rotate_test.xml,paraglider,True,,30.0,0.0,31,3004.0,22.0,2854.0,0.0
rudder_kick.xml,737,True,,20.0,0.0,21,1000.0,200.0,892.0,0.018
sim_primer.xml,ah1s,True,,100.0,0.2,101,2290.0,2.0,6.0,0.0
weather-balloon.xml,weather-balloon,True,,6752.4,3.4,6753,92583.0,13.0,8.0,0.0
x151.xml,X15,True,,5.0,0.0,6,40000.0,245.0,39127.0,0.002
x152.xml,X15,True,,10.0,0.0,11,40089.0,236.0,40089.0,0.003
x153.xml,X15,True,,300.0,0.2,301,273546.0,730.0,75577.0,0.436
