time_input,k,msl,base_vsd,thr_mean,leaves,inertia_R/P,inertia_auc,lift_R/P,lift_auc,pitch_R/P,pitch_auc,noop_fa
False,3,20,0.313,0.051,19,0.33/1.00,0.51,1.00/0.67,0.49,0.25/1.00,0.63,0.18
False,3,200,0.314,0.051,16,0.33/1.00,0.51,1.00/0.67,0.49,0.25/1.00,0.63,0.18
False,5,20,0.466,0.079,45,0.33/0.50,0.6,1.00/0.67,0.26,0.50/1.00,0.43,0.18
False,5,200,0.467,0.079,39,0.33/0.50,0.6,1.00/0.67,0.14,0.50/1.00,0.4,0.18
False,7,20,0.525,0.074,78,0.00/-,0.69,1.00/0.67,0.23,0.00/-,0.46,0.0
False,7,200,0.527,0.073,63,0.00/-,0.69,1.00/0.67,0.37,0.00/-,0.46,0.0
True,3,20,0.292,0.051,35,0.00/-,0.49,1.00/0.67,0.51,0.00/-,0.49,0.14
True,3,200,0.292,0.051,32,0.00/-,0.49,1.00/0.67,0.51,0.00/-,0.49,0.14
True,5,20,0.438,0.079,110,0.67/0.67,0.54,1.00/0.67,0.29,0.75/1.00,0.34,0.23
True,5,200,0.439,0.08,85,0.67/0.67,0.54,1.00/0.67,0.29,0.75/1.00,0.34,0.23
True,7,20,0.501,0.065,207,0.00/-,0.54,1.00/0.67,0.31,0.00/-,0.34,0.0
True,7,200,0.5,0.064,152,0.00/-,0.57,1.00/0.67,0.37,0.00/-,0.43,0.0
