fault,mode,metric_R,metric_P,cat_R,cat_P,auc,flagged,noop_false_alarm
inertia,K3 whole p95,0.29,0.5,0.67,1.0,0.69,"u-fps,v-fps,qdot-rad_sec2,rdot-rad_sec2",
lift,K3 whole p95,0.6,0.43,1.0,0.67,0.49,"h-sl-ft,u-fps,p-rad_sec,q-rad_sec,r-rad_sec,qdot-rad_sec2,vdot-ft_sec2",
pitch,K3 whole p95,0.43,0.75,0.5,1.0,0.46,"u-fps,v-fps,qdot-rad_sec2,rdot-rad_sec2",
noop,K3 whole p95,,,,,,,0.23
inertia,K3 win30s p95,0.0,,0.0,,0.63,,
lift,K3 win30s p95,0.4,0.4,1.0,1.0,0.63,"u-fps,p-rad_sec,q-rad_sec,qdot-rad_sec2,rdot-rad_sec2",
pitch,K3 win30s p95,0.0,,0.0,,0.37,,
noop,K3 win30s p95,,,,,,,0.0
inertia,K3 win120s p95,0.0,,0.0,,0.57,,
lift,K3 win120s p95,0.0,0.0,0.5,1.0,0.66,q-rad_sec,
pitch,K3 win120s p95,0.0,,0.0,,0.37,,
noop,K3 win120s p95,,,,,,,0.0
inertia,K5 whole p95,0.0,0.0,0.33,1.0,0.49,rdot-rad_sec2,
lift,K5 whole p95,0.4,0.29,1.0,0.67,0.4,"h-sl-ft,u-fps,w-fps,q-rad_sec,r-rad_sec,pdot-rad_sec2,rdot-rad_sec2",
pitch,K5 whole p95,0.0,0.0,0.25,1.0,0.43,rdot-rad_sec2,
noop,K5 whole p95,,,,,,,0.09
inertia,K5 win30s p95,0.0,,0.0,,0.63,,
lift,K5 win30s p95,0.4,0.29,1.0,0.67,0.23,"h-sl-ft,u-fps,p-rad_sec,q-rad_sec,r-rad_sec,qdot-rad_sec2,rdot-rad_sec2",
pitch,K5 win30s p95,0.0,,0.0,,0.57,,
noop,K5 win30s p95,,,,,,,0.0
inertia,K5 win120s p95,0.0,,0.0,,0.63,,
lift,K5 win120s p95,0.0,,0.0,,0.54,,
pitch,K5 win120s p95,0.0,,0.0,,0.29,,
noop,K5 win120s p95,,,,,,,0.0
