fault,n,es_takeoff_max,es_cruise_max,n_oracle,n_oracle_gated,n_flag_whole,n_flag_win,whole_phys_R/P,whole_phys_catR/P,whole_phys_auc,whole_gated_R/P,win30_phys_R/P,win30_phys_catR/P,win30_phys_auc,win30_gated_R/P,flagged_win,whole_gated_catR/P,whole_gated_auc,win30_gated_catR/P,win30_gated_auc
inertia_x1.15,10,0.81,0.47,21,0,1,0,0.05/1.00,0.20/1.00,0.67,-,0.00/0.00,0.00/0.00,0.62,-,,,,,
lift_+0.10,10,1.95,9.64,12,7,11,13,0.50/0.55,0.80/1.00,0.43,0.29/0.18,0.58/0.54,1.00/1.00,0.51,0.29/0.15,"h-sl-ft,h-agl-ft,phi-rad,u-fps,p-rad_sec,q-rad_sec,r-rad_sec,h-dot-fps,qdot-rad_sec2,rdot-rad_sec2,udot-ft_sec2,wdot-ft_sec2,beta-deg",0.75/0.75,0.27,1.00/0.80,0.42
pitchnl_s0.3,10,0.77,0.5,12,0,1,0,0.00/0.00,0.20/1.00,0.28,-,0.00/0.00,0.00/0.00,0.62,-,,,,,
inertia_x1.3,10,1.15,0.51,21,1,1,0,0.05/1.00,0.20/1.00,0.67,0.00/0.00,0.00/0.00,0.00/0.00,0.62,0.00/0.00,,0.00/0.00,0.38,0.00/0.00,0.0
inertia_x1.6,10,1.01,0.78,21,1,1,0,0.05/1.00,0.20/1.00,0.67,0.00/0.00,0.00/0.00,0.00/0.00,0.62,0.00/0.00,,0.00/0.00,0.38,0.00/0.00,0.0
inertia_x2.0,10,0.83,1.15,21,1,1,0,0.05/1.00,0.20/1.00,0.67,1.00/1.00,0.00/0.00,0.00/0.00,0.62,0.00/0.00,,1.00/1.00,0.95,0.00/0.00,0.1
lift_+0.05,10,1.24,4.84,12,5,10,9,0.58/0.70,0.80/1.00,0.67,1.00/0.50,0.50/0.67,0.80/1.00,0.64,0.20/0.11,"phi-rad,u-fps,q-rad_sec,r-rad_sec,qdot-rad_sec2,udot-ft_sec2,wdot-ft_sec2,alpha-deg,beta-deg",1.00/0.75,0.76,1.00/0.75,0.65
lift_+0.20,10,3.75,18.8,12,9,10,15,0.42/0.50,0.80/1.00,0.36,0.22/0.20,0.67/0.53,1.00/1.00,0.53,0.56/0.33,"h-sl-ft,h-agl-ft,phi-rad,psi-rad,u-fps,w-fps,p-rad_sec,q-rad_sec,r-rad_sec,h-dot-fps,qdot-rad_sec2,rdot-rad_sec2,udot-ft_sec2,wdot-ft_sec2,beta-deg",0.80/1.00,0.21,1.00/1.00,0.44
clalpha_x0.8,10,0.43,0.89,12,0,1,0,0.00/0.00,0.20/1.00,0.21,-,0.00/0.00,0.00/0.00,0.62,-,,,,,
clalpha_x1.2,10,0.42,0.83,12,0,1,0,0.00/0.00,0.20/1.00,0.29,-,0.00/0.00,0.00/0.00,0.62,-,,,,,
pitchnl_s0.0,10,0.82,0.52,12,0,1,0,0.00/0.00,0.20/1.00,0.28,-,0.00/0.00,0.00/0.00,0.62,-,,,,,
pitchnl_s-0.5,10,0.85,0.66,12,0,1,0,0.00/0.00,0.20/1.00,0.28,-,0.00/0.00,0.00/0.00,0.62,-,,,,,
cmalpha_x0.7,10,1.2,0.86,12,1,12,1,0.67/0.67,1.00/1.00,0.67,0.00/0.00,0.08/1.00,0.20/1.00,0.7,0.00/0.00,alpha-deg,1.00/0.20,0.0,0.00/0.00,0.52
cmalpha_x0.4,10,2.33,0.91,12,7,16,2,0.83/0.62,1.00/1.00,0.6,0.71/0.31,0.08/0.50,0.40/1.00,0.66,0.14/0.50,"pdot-rad_sec2,alpha-deg",1.00/0.80,0.6,0.25/0.50,0.72
cmq_x0.5,10,1.29,0.76,12,2,3,4,0.08/0.33,0.40/1.00,0.27,0.50/0.33,0.08/0.25,0.60/1.00,0.55,0.50/0.25,"phi-rad,q-rad_sec,r-rad_sec,beta-deg",0.50/0.50,0.65,1.00/0.67,0.81
