aircraft,manoeuvre,fault,n_flag,base_vsd,es_max,n_gated,phys_R/P,phys_cat,phys_auc,gated_R/P,gated_cat,gated_auc,false_alarm
737,cruise,inertia_x1.6,2,0.731,0.72,0.0,0.09/1.00,0.40/1.00,,-,,,
737,cruise,cmq_x0.5,4,0.731,0.28,0.0,0.00/0.00,0.40/1.00,0.24,-,,,
737,cruise,cmalpha_x0.7,0,0.731,0.81,0.0,0.00/0.00,0.00/0.00,0.28,-,,,
737,cruise,clo_+0.1,4,0.731,4.22,3.0,0.23/0.75,0.20/1.00,0.51,0.00/0.00,0.33/1.00,0.0,
737,cruise,noop,4,0.731,,,,,,,,,0.18
737,throttle_step,inertia_x1.6,1,0.701,0.36,0.0,0.05/1.00,0.20/1.00,,-,,,
737,throttle_step,cmq_x0.5,2,0.701,0.45,0.0,0.08/0.50,0.40/1.00,0.44,-,,,
737,throttle_step,cmalpha_x0.7,1,0.701,0.25,0.0,0.00/0.00,0.20/1.00,0.44,-,,,
737,throttle_step,clo_+0.1,3,0.701,4.71,3.0,0.15/0.67,0.40/1.00,0.44,0.33/0.33,0.67/1.00,0.33,
737,throttle_step,noop,2,0.701,,,,,,,,,0.09
737,elev_doublet,inertia_x1.6,2,0.705,0.5,0.0,0.09/1.00,0.40/1.00,,-,,,
737,elev_doublet,cmq_x0.5,2,0.705,0.24,0.0,0.00/0.00,0.40/1.00,0.56,-,,,
737,elev_doublet,cmalpha_x0.7,2,0.705,0.46,0.0,0.00/0.00,0.40/1.00,0.51,-,,,
737,elev_doublet,clo_+0.1,5,0.705,4.05,3.0,0.23/0.60,0.40/1.00,0.62,0.00/0.00,0.67/1.00,0.0,
737,elev_doublet,noop,2,0.705,,,,,,,,,0.09
737,elev_step,inertia_x1.6,1,0.741,0.52,0.0,0.05/1.00,0.20/1.00,,-,,,
737,elev_step,cmq_x0.5,2,0.741,0.61,0.0,0.15/1.00,0.40/1.00,0.43,-,,,
737,elev_step,cmalpha_x0.7,0,0.741,0.97,0.0,0.00/0.00,0.00/0.00,0.63,-,,,
737,elev_step,clo_+0.1,4,0.741,4.69,3.0,0.23/0.75,0.40/1.00,0.64,0.00/0.00,0.33/0.50,0.16,
737,elev_step,noop,2,0.741,,,,,,,,,0.09
737,aileron_step,inertia_x1.6,0,0.714,0.33,0.0,0.00/0.00,0.00/0.00,,-,,,
737,aileron_step,cmq_x0.5,1,0.714,0.34,0.0,0.08/1.00,0.20/1.00,0.23,-,,,
737,aileron_step,cmalpha_x0.7,0,0.714,0.36,0.0,0.00/0.00,0.00/0.00,0.42,-,,,
737,aileron_step,clo_+0.1,8,0.714,4.07,3.0,0.31/0.50,0.80/1.00,0.64,0.33/0.12,1.00/0.75,0.33,
737,aileron_step,noop,0,0.714,,,,,,,,,0.0
737,rudder_doublet,inertia_x1.6,1,0.711,0.47,0.0,0.05/1.00,0.20/1.00,,-,,,
737,rudder_doublet,cmq_x0.5,2,0.711,0.36,0.0,0.15/1.00,0.40/1.00,0.62,-,,,
737,rudder_doublet,cmalpha_x0.7,1,0.711,0.66,0.0,0.08/1.00,0.20/1.00,0.47,-,,,
737,rudder_doublet,clo_+0.1,4,0.711,4.4,3.0,0.31/1.00,0.40/1.00,0.7,0.33/0.25,0.67/1.00,0.25,
737,rudder_doublet,noop,2,0.711,,,,,,,,,0.09
737,bank_hold,inertia_x1.6,4,0.72,0.44,0.0,0.18/1.00,0.60/1.00,,-,,,
737,bank_hold,cmq_x0.5,4,0.72,0.41,0.0,0.23/0.75,0.60/1.00,0.62,-,,,
737,bank_hold,cmalpha_x0.7,5,0.72,0.47,0.0,0.31/0.80,0.60/1.00,0.68,-,,,
737,bank_hold,clo_+0.1,8,0.72,4.08,3.0,0.38/0.62,0.80/1.00,0.48,0.33/0.12,1.00/0.75,0.33,
737,bank_hold,noop,3,0.72,,,,,,,,,0.14
737,flap_extend,inertia_x1.6,1,0.62,0.43,0.0,0.05/1.00,0.20/1.00,,-,,,
737,flap_extend,cmq_x0.5,1,0.62,0.39,0.0,0.00/0.00,0.20/1.00,0.26,-,,,
737,flap_extend,cmalpha_x0.7,1,0.62,0.63,0.0,0.00/0.00,0.20/1.00,0.3,-,,,
