aircraft,manoeuvre,config,base_vsd,thr,inertia_x1.6,cmq_x0.5,cmalpha_x0.7,clo_+0.1,noop_fa,noop
737,cruise,static,0.731,0.088,0.09/1.00 cat 0.40 auc nan,0.00/0.00 cat 0.40 auc 0.24,0.00/0.00 cat 0.00 auc 0.28,0.23/0.75 cat 0.20 auc 0.51,0.18,
737,cruise,lags,0.747,0.056,0.18/1.00 cat 0.40 auc nan,0.00/0.00 cat 0.60 auc 0.21,0.00/0.00 cat 0.00 auc 0.32,0.23/0.75 cat 0.20 auc 0.51,0.18,
737,cruise,lags+since,0.749,0.056,0.18/1.00 cat 0.60 auc nan,0.08/0.20 cat 0.80 auc 0.22,0.00/0.00 cat 0.00 auc 0.28,0.23/0.75 cat 0.20 auc 0.54,0.23,
737,cruise,since,0.731,0.087,0.09/1.00 cat 0.40 auc nan,0.00/0.00 cat 0.40 auc 0.24,0.00/0.00 cat 0.00 auc 0.28,0.23/0.75 cat 0.20 auc 0.51,0.14,
737,throttle_step,static,0.701,0.078,0.05/1.00 cat 0.20 auc nan,0.08/0.50 cat 0.40 auc 0.44,0.00/0.00 cat 0.20 auc 0.44,0.15/0.67 cat 0.40 auc 0.44,0.09,
737,throttle_step,lags,0.686,0.057,0.09/1.00 cat 0.20 auc nan,0.15/1.00 cat 0.20 auc 0.38,0.08/0.25 cat 0.40 auc 0.56,0.15/0.50 cat 0.60 auc 0.34,0.09,
737,throttle_step,lags+since,0.655,0.061,0.05/1.00 cat 0.20 auc nan,0.08/1.00 cat 0.20 auc 0.64,0.00/0.00 cat 0.20 auc 0.59,0.08/0.33 cat 0.40 auc 0.35,0.05,
737,throttle_step,since,0.657,0.064,0.14/1.00 cat 0.20 auc nan,0.23/1.00 cat 0.20 auc 0.62,0.00/0.00 cat 0.00 auc 0.58,0.08/0.50 cat 0.20 auc 0.40,0.09,
737,elev_doublet,static,0.705,0.109,0.09/1.00 cat 0.40 auc nan,0.00/0.00 cat 0.40 auc 0.56,0.00/0.00 cat 0.40 auc 0.51,0.23/0.60 cat 0.40 auc 0.62,0.09,
737,elev_doublet,lags,0.707,0.085,0.05/1.00 cat 0.20 auc nan,0.00/0.00 cat 0.20 auc 0.49,0.00/0.00 cat 0.20 auc 0.63,0.23/0.60 cat 0.40 auc 0.47,0.05,
737,elev_doublet,lags+since,0.705,0.089,0.05/1.00 cat 0.20 auc nan,0.00/0.00 cat 0.20 auc 0.33,0.00/0.00 cat 0.40 auc 0.50,0.23/0.60 cat 0.40 auc 0.55,0.05,
737,elev_doublet,since,0.708,0.095,0.05/1.00 cat 0.20 auc nan,0.00/0.00 cat 0.40 auc 0.42,0.08/0.50 cat 0.40 auc 0.50,0.31/0.67 cat 0.60 auc 0.56,0.09,
737,elev_step,static,0.741,0.061,0.05/1.00 cat 0.20 auc nan,0.15/1.00 cat 0.40 auc 0.43,0.00/0.00 cat 0.00 auc 0.63,0.23/0.75 cat 0.40 auc 0.64,0.09,
737,elev_step,lags,0.716,0.043,0.09/1.00 cat 0.40 auc nan,0.15/0.67 cat 0.40 auc 0.47,0.15/1.00 cat 0.40 auc 0.60,0.54/0.88 cat 0.80 auc 0.79,0.14,
737,elev_step,lags+since,0.632,0.046,0.05/1.00 cat 0.20 auc nan,0.31/0.80 cat 0.60 auc 0.55,0.46/1.00 cat 0.60 auc 0.59,0.38/0.83 cat 0.60 auc 0.81,0.05,
737,elev_step,since,0.64,0.052,0.09/1.00 cat 0.20 auc nan,0.23/1.00 cat 0.40 auc 0.47,0.46/1.00 cat 0.60 auc 0.58,0.38/1.00 cat 0.60 auc 0.68,0.09,
737,aileron_step,static,0.714,0.063,0.00/0.00 cat 0.00 auc nan,0.08/1.00 cat 0.20 auc 0.23,0.00/0.00 cat 0.00 auc 0.42,0.31/0.50 cat 0.80 auc 0.64,0.0,
737,aileron_step,lags,0.661,0.066,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.00 auc 0.21,0.00/0.00 cat 0.00 auc 0.43,0.38/0.56 cat 0.60 auc 0.56,0.0,
737,aileron_step,lags+since,0.632,0.085,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.00 auc 0.21,0.00/0.00 cat 0.20 auc 0.45,0.23/0.50 cat 0.60 auc 0.55,0.0,
737,aileron_step,since,0.641,0.089,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.00 auc 0.22,0.00/0.00 cat 0.00 auc 0.47,0.38/0.71 cat 0.60 auc 0.55,0.0,
737,rudder_doublet,static,0.711,0.092,0.05/1.00 cat 0.20 auc nan,0.15/1.00 cat 0.40 auc 0.62,0.08/1.00 cat 0.20 auc 0.47,0.31/1.00 cat 0.40 auc 0.70,0.09,
737,rudder_doublet,lags,0.687,0.072,0.18/1.00 cat 0.60 auc nan,0.31/1.00 cat 0.60 auc 0.70,0.08/0.50 cat 0.20 auc 0.46,0.31/0.80 cat 0.40 auc 0.65,0.14,
737,rudder_doublet,lags+since,0.687,0.074,0.18/1.00 cat 0.60 auc nan,0.15/0.67 cat 0.40 auc 0.69,0.08/0.50 cat 0.40 auc 0.36,0.23/0.75 cat 0.20 auc 0.60,0.14,
737,rudder_doublet,since,0.699,0.082,0.14/1.00 cat 0.40 auc nan,0.23/0.75 cat 0.60 auc 0.76,0.15/0.67 cat 0.60 auc 0.46,0.31/1.00 cat 0.40 auc 0.74,0.18,
737,bank_hold,static,0.72,0.062,0.18/1.00 cat 0.60 auc nan,0.23/0.75 cat 0.60 auc 0.62,0.31/0.80 cat 0.60 auc 0.68,0.38/0.62 cat 0.80 auc 0.48,0.14,
737,bank_hold,lags,0.679,0.053,0.23/1.00 cat 0.60 auc nan,0.38/0.71 cat 0.80 auc 0.70,0.46/0.75 cat 0.80 auc 0.62,0.46/0.55 cat 0.60 auc 0.54,0.36,
737,bank_hold,lags+since,0.624,0.063,0.18/1.00 cat 0.60 auc nan,0.23/1.00 cat 0.40 auc 0.57,0.31/1.00 cat 0.60 auc 0.41,0.15/1.00 cat 0.40 auc 0.61,0.14,
737,bank_hold,since,0.625,0.069,0.18/1.00 cat 0.60 auc nan,0.23/1.00 cat 0.40 auc 0.62,0.23/1.00 cat 0.40 auc 0.51,0.46/0.75 cat 0.80 auc 0.52,0.14,
737,flap_extend,static,0.62,0.052,0.05/1.00 cat 0.20 auc nan,0.00/0.00 cat 0.20 auc 0.26,0.00/0.00 cat 0.20 auc 0.30,0.23/1.00 cat 0.60 auc 0.50,0.09,
737,flap_extend,lags,0.582,0.048,0.09/1.00 cat 0.20 auc nan,0.00/0.00 cat 0.20 auc 0.25,0.08/0.50 cat 0.20 auc 0.28,0.38/1.00 cat 0.80 auc 0.55,0.09,
737,flap_extend,lags+since,0.5,0.043,0.00/0.00 cat 0.00 auc nan,0.15/0.50 cat 0.60 auc 0.18,0.00/0.00 cat 0.20 auc 0.32,0.54/1.00 cat 0.80 auc 0.67,0.05,
737,flap_extend,since,0.491,0.051,0.05/1.00 cat 0.20 auc nan,0.15/0.50 cat 0.60 auc 0.14,0.00/0.00 cat 0.20 auc 0.32,0.31/1.00 cat 0.60 auc 0.67,0.09,
737,engine_cut,static,0.712,0.043,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.20 auc 0.59,0.00/0.00 cat 0.00 auc 0.63,0.23/1.00 cat 0.20 auc 0.68,0.05,
737,engine_cut,lags,0.689,0.039,0.05/1.00 cat 0.20 auc nan,0.15/1.00 cat 0.40 auc 0.60,0.00/0.00 cat 0.00 auc 0.52,0.31/1.00 cat 0.40 auc 0.48,0.0,
737,engine_cut,lags+since,0.54,0.045,0.00/0.00 cat 0.00 auc nan,0.08/1.00 cat 0.20 auc 0.62,0.00/0.00 cat 0.20 auc 0.45,0.38/1.00 cat 0.40 auc 0.50,0.05,
737,engine_cut,since,0.527,0.045,0.09/1.00 cat 0.20 auc nan,0.08/0.50 cat 0.20 auc 0.54,0.08/1.00 cat 0.20 auc 0.55,0.31/0.80 cat 0.40 auc 0.54,0.09,
737,climbing_turn,static,0.658,0.064,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.00 auc 0.76,0.00/0.00 cat 0.00 auc 0.66,0.08/0.50 cat 0.20 auc 0.38,0.0,
737,climbing_turn,lags,0.605,0.062,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.00 auc 0.44,0.00/0.00 cat 0.00 auc 0.76,0.23/0.60 cat 0.40 auc 0.56,0.0,
737,climbing_turn,lags+since,0.556,0.051,0.09/1.00 cat 0.40 auc nan,0.15/0.67 cat 0.40 auc 0.74,0.15/0.67 cat 0.20 auc 0.74,0.38/0.62 cat 0.40 auc 0.56,0.14,
737,climbing_turn,since,0.553,0.055,0.05/1.00 cat 0.20 auc nan,0.08/0.50 cat 0.20 auc 0.72,0.08/1.00 cat 0.20 auc 0.70,0.31/0.80 cat 0.40 auc 0.57,0.09,
737,elev_doublet_distractor,static,0.724,0.089,0.00/0.00 cat 0.00 auc nan,0.08/1.00 cat 0.20 auc 0.83,0.00/0.00 cat 0.00 auc 0.64,0.46/0.67 cat 0.60 auc 0.79,0.0,
737,elev_doublet_distractor,lags,0.71,0.066,0.05/1.00 cat 0.20 auc nan,0.08/1.00 cat 0.20 auc 0.70,0.00/0.00 cat 0.00 auc 0.67,0.46/0.55 cat 0.40 auc 0.66,0.0,
737,elev_doublet_distractor,lags+since,0.702,0.08,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.20 auc 0.69,0.00/0.00 cat 0.00 auc 0.54,0.31/0.57 cat 0.40 auc 0.68,0.05,
737,elev_doublet_distractor,since,0.709,0.089,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.00 auc 0.75,0.00/0.00 cat 0.00 auc 0.56,0.31/0.67 cat 0.40 auc 0.71,0.0,
737,engine_restart,static,0.665,0.029,0.05/1.00 cat 0.20 auc nan,0.00/0.00 cat 0.20 auc 0.49,0.00/0.00 cat 0.00 auc 0.38,0.23/0.75 cat 0.20 auc 0.49,0.05,
737,engine_restart,lags,0.61,0.027,0.05/1.00 cat 0.20 auc nan,0.23/1.00 cat 0.20 auc 0.66,0.15/1.00 cat 0.20 auc 0.52,0.31/1.00 cat 0.40 auc 0.53,0.09,
737,engine_restart,lags+since,0.495,0.027,0.05/1.00 cat 0.20 auc nan,0.31/1.00 cat 0.40 auc 0.74,0.23/0.75 cat 0.40 auc 0.59,0.46/0.75 cat 0.60 auc 0.75,0.14,
737,engine_restart,since,0.489,0.03,0.09/1.00 cat 0.20 auc nan,0.23/0.75 cat 0.20 auc 0.62,0.23/0.60 cat 0.40 auc 0.50,0.62/0.67 cat 0.80 auc 0.66,0.23,
787-8,cruise,static,0.695,0.1,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.00 auc 0.71,0.38/1.00 cat 0.80 auc 0.64,0.31/1.00 cat 0.40 auc 0.56,0.0,
787-8,cruise,lags,0.702,0.084,0.09/1.00 cat 0.20 auc nan,0.08/0.50 cat 0.20 auc 0.56,0.31/0.57 cat 1.00 auc 0.55,0.23/0.43 cat 0.60 auc 0.43,0.09,
787-8,cruise,lags+since,0.702,0.084,0.14/1.00 cat 0.20 auc nan,0.00/0.00 cat 0.20 auc 0.57,0.23/0.50 cat 0.80 auc 0.55,0.23/0.43 cat 0.60 auc 0.44,0.14,
787-8,cruise,since,0.691,0.105,0.05/1.00 cat 0.20 auc nan,0.08/1.00 cat 0.20 auc 0.65,0.38/1.00 cat 0.80 auc 0.61,0.31/1.00 cat 0.40 auc 0.53,0.05,
787-8,throttle_step,static,0.671,0.076,0.05/1.00 cat 0.20 auc nan,0.15/1.00 cat 0.40 auc 0.87,0.08/1.00 cat 0.20 auc 0.69,0.15/1.00 cat 0.20 auc 0.57,0.05,
787-8,throttle_step,lags,0.655,0.059,0.05/1.00 cat 0.20 auc nan,0.00/0.00 cat 0.00 auc 0.81,0.08/0.33 cat 0.40 auc 0.56,0.23/1.00 cat 0.20 auc 0.55,0.0,
