aircraft,manoeuvre,method,fault,recall,precision,cat_recall,cat_precision,auc,n_flagged,flagged,n_gated,gated_recall,gated_precision,gated_auc,false_alarm
737,cruise,sig_static,inertia_x1.6,0.09090909090909091,1.0,0.4,1.0,,2.0,velocities/r-rad_sec;accelerations/vdot-ft_sec2,0.0,,,,
737,cruise,sig_static,cmq_x0.5,0.0,0.0,0.4,1.0,0.23931623931623935,4.0,velocities/r-rad_sec;accelerations/pdot-rad_sec2;accelerations/rdot-rad_sec2;accelerations/vdot-ft_sec2,0.0,,,,
737,cruise,sig_static,cmalpha_x0.7,0.0,,0.0,,0.2820512820512821,0.0,,0.0,,,,
737,cruise,sig_static,clo_+0.1,0.23076923076923078,0.75,0.2,1.0,0.5128205128205128,4.0,velocities/u-fps;velocities/v-fps;velocities/vc-kts;velocities/vt-fps,3.0,0.0,0.0,0.0,
737,cruise,sig_static,noop,,,,,,,,,,,,0.18181818181818182
737,cruise,sig_dynamic,inertia_x1.6,0.18181818181818182,1.0,0.6,1.0,,4.0,velocities/v-fps;velocities/r-rad_sec;accelerations/vdot-ft_sec2;aero/beta-deg,0.0,,,,
737,cruise,sig_dynamic,cmq_x0.5,0.07692307692307693,0.2,0.8,1.0,0.22222222222222227,5.0,attitude/phi-rad;velocities/v-fps;accelerations/qdot-rad_sec2;accelerations/rdot-rad_sec2;aero/beta-deg,0.0,,,,
737,cruise,sig_dynamic,cmalpha_x0.7,0.0,,0.0,,0.2820512820512821,0.0,,0.0,,,,
737,cruise,sig_dynamic,clo_+0.1,0.23076923076923078,0.75,0.2,1.0,0.5384615384615385,4.0,velocities/u-fps;velocities/p-rad_sec;velocities/vc-kts;velocities/vt-fps,3.0,0.0,0.0,0.0,
737,cruise,sig_dynamic,noop,,,,,,,,,,,,0.22727272727272727
737,cruise,envelope,inertia_x1.6,0.045454545454545456,1.0,0.2,1.0,,1.0,aero/alpha-deg,0.0,,,,
737,cruise,envelope,cmq_x0.5,0.07692307692307693,1.0,0.2,1.0,0.358974358974359,1.0,aero/alpha-deg,0.0,,,,
737,cruise,envelope,cmalpha_x0.7,0.0,,0.0,,0.22222222222222227,0.0,,0.0,,,,
737,cruise,envelope,clo_+0.1,0.23076923076923078,1.0,0.6,1.0,0.6068376068376069,3.0,attitude/theta-rad;velocities/w-fps;aero/alpha-deg,3.0,1.0,1.0,1.0,
737,cruise,envelope,noop,,,,,,,,,,,,0.0
737,cruise,ks,inertia_x1.6,0.13636363636363635,1.0,0.6,1.0,,3.0,attitude/theta-rad;velocities/w-fps;aero/alpha-deg,0.0,,,,
737,cruise,ks,cmq_x0.5,0.07692307692307693,1.0,0.2,1.0,0.6239316239316239,1.0,aero/alpha-deg,0.0,,,,
737,cruise,ks,cmalpha_x0.7,0.23076923076923078,1.0,0.6,1.0,0.641025641025641,3.0,attitude/theta-rad;velocities/w-fps;aero/alpha-deg,0.0,,,,
737,cruise,ks,clo_+0.1,0.23076923076923078,1.0,0.6,1.0,0.7094017094017093,3.0,attitude/theta-rad;velocities/w-fps;aero/alpha-deg,3.0,1.0,1.0,1.0,
737,cruise,ks,noop,,,,,,,,,,,,0.09090909090909091
737,cruise,regression,inertia_x1.6,0.0,,0.0,,,0.0,,0.0,,,,
737,cruise,regression,cmq_x0.5,0.0,,0.0,,0.7863247863247863,0.0,,0.0,,,,
737,cruise,regression,cmalpha_x0.7,0.0,,0.0,,0.6239316239316239,0.0,,0.0,,,,
737,cruise,regression,clo_+0.1,0.46153846153846156,1.0,0.6,1.0,0.9401709401709402,6.0,attitude/theta-rad;velocities/u-fps;velocities/w-fps;velocities/vc-kts;velocities/vt-fps;aero/alpha-deg,3.0,1.0,0.5,0.9649122807017545,
737,cruise,regression,noop,,,,,,,,,,,,0.0
737,cruise,iforest,inertia_x1.6,1.0,1.0,1.0,1.0,,22.0,position/h-sl-ft;position/h-agl-ft;attitude/phi-rad;attitude/theta-rad;attitude/psi-rad;velocities/u-fps;velocities/v-fps;velocities/w-fps;velocities/p-rad_sec;velocities/q-rad_sec;velocities/r-rad_sec;velocities/vc-kts;velocities/vt-fps;velocities/h-dot-fps;accelerations/pdot-rad_sec2;accelerations/qdot-rad_sec2;accelerations/rdot-rad_sec2;accelerations/udot-ft_sec2;accelerations/vdot-ft_sec2;accelerations/wdot-ft_sec2;aero/alpha-deg;aero/beta-deg,0.0,,,,
