aircraft,manoeuvre,fault,explainer,n_flagged,agreement,agreement_null_median,n_explained,correctness,correctness_largest_movement,correctness_only_changing,correctness_residual_importance,stability,n_with_trim_shift
737,throttle_step,inertia_x1.6,dynamic,2,0.0,1.0,2,1.0,1.0,1.0,0.5,1.0,0
737,throttle_step,inertia_x1.6,static,2,0.5,0.5,2,1.0,1.0,1.0,,,0
737,throttle_step,cmq_x0.5,dynamic,1,0.0,1.0,1,1.0,1.0,1.0,1.0,1.0,0
737,throttle_step,cmq_x0.5,static,1,1.0,1.0,1,1.0,1.0,1.0,,,0
737,throttle_step,cmalpha_x0.7,dynamic,3,0.0,1.0,3,1.0,1.0,1.0,1.0,1.0,0
737,throttle_step,cmalpha_x0.7,static,3,0.0,1.0,3,1.0,1.0,1.0,,,0
737,throttle_step,clo_+0.1,dynamic,8,0.25,0.5,8,1.0,1.0,1.0,0.75,1.0,8
737,throttle_step,clo_+0.1,static,8,0.25,0.5,7,1.0,1.0,1.0,,,7
737,elev_doublet,inertia_x1.6,dynamic,0,,,0,,,,,,0
737,elev_doublet,inertia_x1.6,static,0,,,0,,,,,,0
737,elev_doublet,cmq_x0.5,dynamic,0,,,0,,,,,,0
737,elev_doublet,cmq_x0.5,static,0,,,0,,,,,,0
737,elev_doublet,cmalpha_x0.7,dynamic,1,0.0,0.0,1,1.0,1.0,1.0,1.0,0.6,0
737,elev_doublet,cmalpha_x0.7,static,1,0.0,1.0,1,1.0,1.0,1.0,,,0
737,elev_doublet,clo_+0.1,dynamic,9,0.4444444444444444,0.6666666666666666,9,1.0,1.0,1.0,0.5555555555555556,0.5666666666666667,9
737,elev_doublet,clo_+0.1,static,9,0.4444444444444444,0.5555555555555556,9,1.0,1.0,1.0,,,9
737,elev_step,inertia_x1.6,dynamic,1,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0
737,elev_step,inertia_x1.6,static,1,0.0,1.0,1,1.0,1.0,1.0,,,0
737,elev_step,cmq_x0.5,dynamic,2,0.0,0.5,2,1.0,1.0,1.0,1.0,0.35,0
737,elev_step,cmq_x0.5,static,2,0.0,1.0,2,1.0,1.0,1.0,,,0
737,elev_step,cmalpha_x0.7,dynamic,5,0.6,1.0,5,1.0,1.0,1.0,0.8,0.4800000000000001,0
737,elev_step,cmalpha_x0.7,static,5,0.0,0.8,5,1.0,1.0,1.0,,,0
737,elev_step,clo_+0.1,dynamic,11,0.45454545454545453,0.6363636363636364,11,1.0,1.0,1.0,1.0,0.781818181818182,11
737,elev_step,clo_+0.1,static,11,0.2727272727272727,0.7272727272727273,11,1.0,1.0,1.0,,,11
737,aileron_step,inertia_x1.6,dynamic,0,,,0,,,,,,0
737,aileron_step,inertia_x1.6,static,0,,,0,,,,,,0
737,aileron_step,cmq_x0.5,dynamic,0,,,0,,,,,,0
737,aileron_step,cmq_x0.5,static,0,,,0,,,,,,0
737,aileron_step,cmalpha_x0.7,dynamic,0,,,0,,,,,,0
737,aileron_step,cmalpha_x0.7,static,0,,,0,,,,,,0
737,aileron_step,clo_+0.1,dynamic,8,0.5,0.625,8,1.0,1.0,1.0,0.75,0.44999999999999996,8
737,aileron_step,clo_+0.1,static,8,0.375,0.625,6,1.0,1.0,1.0,,,6
737,rudder_doublet,inertia_x1.6,dynamic,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,0
737,rudder_doublet,inertia_x1.6,static,1,1.0,1.0,1,1.0,1.0,1.0,,,0
737,rudder_doublet,cmq_x0.5,dynamic,0,,,0,,,,,,0
737,rudder_doublet,cmq_x0.5,static,0,,,0,,,,,,0
737,rudder_doublet,cmalpha_x0.7,dynamic,0,,,0,,,,,,0
737,rudder_doublet,cmalpha_x0.7,static,0,,,0,,,,,,0
737,rudder_doublet,clo_+0.1,dynamic,8,0.5,0.75,8,1.0,1.0,1.0,0.375,1.0,8
737,rudder_doublet,clo_+0.1,static,8,0.5,0.625,8,1.0,1.0,1.0,,,8
737,bank_hold,inertia_x1.6,dynamic,0,,,0,,,,,,0
737,bank_hold,inertia_x1.6,static,0,,,0,,,,,,0
737,bank_hold,cmq_x0.5,dynamic,0,,,0,,,,,,0
737,bank_hold,cmq_x0.5,static,0,,,0,,,,,,0
737,bank_hold,cmalpha_x0.7,dynamic,0,,,0,,,,,,0
737,bank_hold,cmalpha_x0.7,static,0,,,0,,,,,,0
737,bank_hold,clo_+0.1,dynamic,7,0.14285714285714285,0.7142857142857143,7,1.0,1.0,1.0,0.5714285714285714,0.4714285714285714,7
737,bank_hold,clo_+0.1,static,7,0.42857142857142855,0.5714285714285714,5,1.0,1.0,1.0,,,5
737,flap_extend,inertia_x1.6,dynamic,2,0.0,0.5,2,1.0,1.0,1.0,0.0,1.0,0
737,flap_extend,inertia_x1.6,static,2,0.5,1.0,2,1.0,1.0,1.0,,,0
737,flap_extend,cmq_x0.5,dynamic,3,0.6666666666666666,0.6666666666666666,3,1.0,1.0,1.0,0.6666666666666666,1.0,0
737,flap_extend,cmq_x0.5,static,3,0.3333333333333333,0.6666666666666666,3,1.0,1.0,1.0,,,0
737,flap_extend,cmalpha_x0.7,dynamic,1,0.0,1.0,1,1.0,1.0,1.0,0.0,1.0,0
737,flap_extend,cmalpha_x0.7,static,1,0.0,1.0,1,1.0,1.0,1.0,,,0
737,flap_extend,clo_+0.1,dynamic,11,0.5454545454545454,0.7272727272727273,11,1.0,1.0,1.0,1.0,0.5636363636363636,11
737,flap_extend,clo_+0.1,static,11,0.2727272727272727,0.7272727272727273,11,1.0,1.0,1.0,,,11
737,engine_cut,inertia_x1.6,dynamic,0,,,0,,,,,,0
737,engine_cut,inertia_x1.6,static,0,,,0,,,,,,0
737,engine_cut,cmq_x0.5,dynamic,0,,,0,,,,,,0
737,engine_cut,cmq_x0.5,static,0,,,0,,,,,,0
737,engine_cut,cmalpha_x0.7,dynamic,0,,,0,,,,,,0
737,engine_cut,cmalpha_x0.7,static,0,,,0,,,,,,0
737,engine_cut,clo_+0.1,dynamic,7,0.5714285714285714,0.7142857142857143,7,1.0,1.0,1.0,1.0,0.8,7
737,engine_cut,clo_+0.1,static,7,0.42857142857142855,0.5714285714285714,7,0.0,1.0,1.0,,,7
737,climbing_turn,inertia_x1.6,dynamic,2,0.0,0.0,2,0.0,1.0,1.0,0.0,0.3,0
737,climbing_turn,inertia_x1.6,static,2,0.0,0.0,2,0.0,1.0,1.0,,,0
737,climbing_turn,cmq_x0.5,dynamic,1,0.0,0.0,1,1.0,1.0,1.0,1.0,0.0,0
737,climbing_turn,cmq_x0.5,static,1,0.0,0.0,1,1.0,1.0,1.0,,,0
737,climbing_turn,cmalpha_x0.7,dynamic,1,0.0,0.0,1,0.0,1.0,1.0,1.0,0.1,0
737,climbing_turn,cmalpha_x0.7,static,1,0.0,0.0,1,0.0,1.0,1.0,,,0
737,climbing_turn,clo_+0.1,dynamic,9,0.5555555555555556,0.7777777777777778,9,0.2222222222222222,1.0,1.0,0.2222222222222222,0.37777777777777777,9
737,climbing_turn,clo_+0.1,static,9,0.1111111111111111,0.3333333333333333,9,0.2222222222222222,1.0,1.0,,,9
737,elev_doublet_distractor,inertia_x1.6,dynamic,0,,,0,,,,,,0
737,elev_doublet_distractor,inertia_x1.6,static,0,,,0,,,,,,0
737,elev_doublet_distractor,cmq_x0.5,dynamic,0,,,0,,,,,,0
737,elev_doublet_distractor,cmq_x0.5,static,0,,,0,,,,,,0
737,elev_doublet_distractor,cmalpha_x0.7,dynamic,0,,,0,,,,,,0
