aircraft,manoeuvre,variant,es_max,n_gated,n_flagged,n_cand,phys_recall,phys_precision,phys_cat_recall,phys_auc,gated_recall,gated_precision,gated_auc,agree_dynamic,correct_dynamic,agree_static,correct_static,gated_cat_recall
737,cruise,B_elevator_drag_8819410c,0.5589220356023351,0,3,10,0.23076923076923078,1.0,0.2,0.35042735042735046,,,,0.0,,0.0,,
737,cruise,B_ground_effect_9c058118,0.0,0,0,10,0.0,,0.0,0.7350427350427351,,,,,,,,
737,cruise,B_pqrdot_5ad2694c,6.311429781962852e-05,0,0,10,0.0,,0.0,,,,,,,,,
737,cruise,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.7350427350427351,,,,,,,,
737,throttle_step,B_elevator_drag_8819410c,0.33552228891748,0,3,10,0.23076923076923078,1.0,0.2,0.41025641025641024,,,,1.0,1.0,1.0,1.0,
737,throttle_step,B_ground_effect_9c058118,0.0,0,1,10,0.07692307692307693,1.0,0.2,0.3504273504273504,,,,0.0,1.0,1.0,1.0,
737,throttle_step,B_pqrdot_5ad2694c,6.110126244803757e-05,0,1,10,0.045454545454545456,1.0,0.2,,,,,0.0,1.0,1.0,1.0,
737,throttle_step,B_turbine_windmill_2db8e408,0.0,0,1,10,0.07692307692307693,1.0,0.2,0.3504273504273504,,,,0.0,1.0,1.0,1.0,
737,elev_doublet,B_elevator_drag_8819410c,0.7172006467158482,0,4,10,0.3076923076923077,1.0,0.4,0.8034188034188036,,,,0.25,1.0,0.25,1.0,
737,elev_doublet,B_ground_effect_9c058118,0.0,0,0,10,0.0,,0.0,0.4786324786324786,,,,,,,,
737,elev_doublet,B_pqrdot_5ad2694c,4.596856791796091e-05,0,0,10,0.0,,0.0,,,,,,,,,
737,elev_doublet,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.4786324786324786,,,,,,,,
737,elev_step,B_elevator_drag_8819410c,1.2553413902973933,1,7,10,0.5384615384615384,1.0,0.8,0.7863247863247863,1.0,0.14285714285714285,0.7619047619047619,0.5714285714285714,1.0,0.42857142857142855,1.0,1.0
737,elev_step,B_ground_effect_9c058118,0.0,0,1,10,0.07692307692307693,1.0,0.2,0.6068376068376069,,,,0.0,1.0,0.0,1.0,
737,elev_step,B_pqrdot_5ad2694c,4.9138516993491626e-05,0,1,10,0.045454545454545456,1.0,0.2,,,,,0.0,1.0,0.0,1.0,
737,elev_step,B_turbine_windmill_2db8e408,0.0,0,1,10,0.07692307692307693,1.0,0.2,0.6068376068376069,,,,0.0,1.0,0.0,1.0,
737,aileron_step,B_elevator_drag_8819410c,0.6821818725804202,0,3,10,0.23076923076923078,1.0,0.2,0.32478632478632485,,,,0.0,1.0,0.0,1.0,
737,aileron_step,B_ground_effect_9c058118,0.0,0,0,10,0.0,,0.0,0.3076923076923077,,,,,,,,
737,aileron_step,B_pqrdot_5ad2694c,0.0001960828958352609,0,0,10,0.0,,0.0,,,,,,,,,
737,aileron_step,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.3076923076923077,,,,,,,,
737,rudder_doublet,B_elevator_drag_8819410c,0.5246431463007707,0,1,10,0.07692307692307693,1.0,0.2,0.3333333333333333,,,,1.0,1.0,1.0,1.0,
737,rudder_doublet,B_ground_effect_9c058118,0.0,0,0,10,0.0,,0.0,0.23931623931623935,,,,,,,,
737,rudder_doublet,B_pqrdot_5ad2694c,0.00033837827882172387,0,0,10,0.0,,0.0,,,,,,,,,
737,rudder_doublet,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.23931623931623935,,,,,,,,
737,bank_hold,B_elevator_drag_8819410c,0.7180815887837625,0,0,10,0.0,,0.0,0.2991452991452992,,,,,,,,
737,bank_hold,B_ground_effect_9c058118,0.0,0,0,10,0.0,,0.0,0.20512820512820515,,,,,,,,
737,bank_hold,B_pqrdot_5ad2694c,0.00012208466922623097,0,0,10,0.0,,0.0,,,,,,,,,
737,bank_hold,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.20512820512820515,,,,,,,,
737,flap_extend,B_elevator_drag_8819410c,0.5333077364059196,0,0,10,0.0,,0.0,0.4273504273504274,,,,,,,,
737,flap_extend,B_ground_effect_9c058118,0.0,0,2,10,0.0,0.0,0.2,0.36752136752136755,,,,0.5,1.0,1.0,1.0,
737,flap_extend,B_pqrdot_5ad2694c,6.397459898223993e-05,0,2,10,0.09090909090909091,1.0,0.2,,,,,0.5,1.0,1.0,1.0,
737,flap_extend,B_turbine_windmill_2db8e408,0.0,0,2,10,0.0,0.0,0.2,0.36752136752136755,,,,0.5,1.0,1.0,1.0,
737,engine_cut,B_elevator_drag_8819410c,0.9980311208662281,0,3,10,0.23076923076923078,1.0,0.2,0.5897435897435898,,,,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,
737,engine_cut,B_ground_effect_9c058118,0.0,0,0,10,0.0,,0.0,0.3418803418803419,,,,,,,,
737,engine_cut,B_pqrdot_5ad2694c,0.00014528565648265206,0,0,10,0.0,,0.0,,,,,,,,,
737,engine_cut,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.3418803418803419,,,,,,,,
737,climbing_turn,B_elevator_drag_8819410c,0.7546948952676383,0,6,10,0.46153846153846156,1.0,0.6,0.8290598290598291,,,,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,
737,climbing_turn,B_ground_effect_9c058118,0.0,0,2,10,0.15384615384615385,1.0,0.2,0.5042735042735043,,,,0.0,0.0,0.0,0.0,
737,climbing_turn,B_pqrdot_5ad2694c,0.00016547956840772522,0,2,10,0.09090909090909091,1.0,0.2,,,,,0.0,0.0,0.0,0.0,
737,climbing_turn,B_turbine_windmill_2db8e408,0.0,0,2,10,0.15384615384615385,1.0,0.2,0.5042735042735043,,,,0.0,0.0,0.0,0.0,
737,elev_doublet_distractor,B_elevator_drag_8819410c,1.0313802081126666,1,0,10,0.0,,0.0,0.4358974358974359,0.0,,1.0,,,,,0.0
737,elev_doublet_distractor,B_ground_effect_9c058118,0.0,0,0,10,0.0,,0.0,0.5470085470085471,,,,,,,,
737,elev_doublet_distractor,B_pqrdot_5ad2694c,7.839219087807259e-05,0,0,10,0.0,,0.0,,,,,,,,,
737,elev_doublet_distractor,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.5470085470085471,,,,,,,,
737,engine_restart,B_elevator_drag_8819410c,1.1653707879948894,0,11,10,0.6153846153846154,0.7272727272727273,0.8,0.7521367521367521,,,,0.8181818181818182,0.9090909090909091,0.18181818181818182,0.45454545454545453,
737,engine_restart,B_ground_effect_9c058118,0.0,0,2,10,0.07692307692307693,0.5,0.4,0.6324786324786325,,,,0.0,0.5,0.0,0.5,
737,engine_restart,B_pqrdot_5ad2694c,0.00011352700826459322,0,2,10,0.09090909090909091,1.0,0.4,,,,,0.0,0.5,0.0,0.5,
737,engine_restart,B_turbine_windmill_2db8e408,3.647717908336693,3,15,10,0.6153846153846154,0.5333333333333333,1.0,0.5641025641025641,1.0,0.2,0.9298245614035088,0.6666666666666666,0.7333333333333333,0.26666666666666666,0.5333333333333333,1.0
787-8,cruise,B_pqrdot_5ad2694c,6.590625020412474e-05,0,0,10,0.0,,0.0,,,,,,,,,
787-8,cruise,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.45299145299145305,,,,,,,,
787-8,throttle_step,B_pqrdot_5ad2694c,0.000110123930205071,0,0,10,0.0,,0.0,,,,,,,,,
787-8,throttle_step,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.3931623931623932,,,,,,,,
787-8,elev_doublet,B_pqrdot_5ad2694c,6.808110579200181e-05,0,0,10,0.0,,0.0,,,,,,,,,
787-8,elev_doublet,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.24786324786324787,,,,,,,,
787-8,elev_step,B_pqrdot_5ad2694c,7.085405342386578e-05,0,0,10,0.0,,0.0,,,,,,,,,
787-8,elev_step,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.24786324786324787,,,,,,,,
787-8,aileron_step,B_pqrdot_5ad2694c,0.00023327534833276781,0,0,10,0.0,,0.0,,,,,,,,,
787-8,aileron_step,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.5555555555555556,,,,,,,,
787-8,rudder_doublet,B_pqrdot_5ad2694c,7.589079503494307e-05,0,0,10,0.0,,0.0,,,,,,,,,
787-8,rudder_doublet,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.38461538461538464,,,,,,,,
787-8,bank_hold,B_pqrdot_5ad2694c,0.00018093364832595806,0,0,10,0.0,,0.0,,,,,,,,,
787-8,bank_hold,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.45299145299145294,,,,,,,,
787-8,flap_extend,B_pqrdot_5ad2694c,9.52776890879392e-05,0,0,10,0.0,,0.0,,,,,,,,,
787-8,flap_extend,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.2820512820512821,,,,,,,,
787-8,engine_cut,B_pqrdot_5ad2694c,0.00013904827511440973,0,2,10,0.09090909090909091,1.0,0.2,,,,,0.0,0.0,0.0,0.0,
787-8,engine_cut,B_turbine_windmill_2db8e408,0.0,0,2,10,0.15384615384615385,1.0,0.2,0.5811965811965812,,,,0.0,0.0,0.0,0.0,
787-8,climbing_turn,B_pqrdot_5ad2694c,0.0002718165435703613,0,1,10,0.045454545454545456,1.0,0.2,,,,,0.0,0.0,0.0,1.0,
787-8,climbing_turn,B_turbine_windmill_2db8e408,0.0,0,1,10,0.07692307692307693,1.0,0.2,0.4102564102564103,,,,0.0,0.0,0.0,1.0,
787-8,elev_doublet_distractor,B_pqrdot_5ad2694c,9.440515328476163e-05,0,1,10,0.045454545454545456,1.0,0.2,,,,,0.0,0.0,0.0,0.0,
787-8,elev_doublet_distractor,B_turbine_windmill_2db8e408,0.0,0,1,10,0.0,0.0,0.2,0.4871794871794872,,,,0.0,0.0,0.0,0.0,
787-8,engine_restart,B_pqrdot_5ad2694c,9.378693000026381e-05,0,0,10,0.0,,0.0,,,,,,,,,
787-8,engine_restart,B_turbine_windmill_2db8e408,1.4271757416199524,2,9,10,0.3076923076923077,0.4444444444444444,0.8,0.38461538461538464,1.0,0.2222222222222222,0.975,0.3333333333333333,0.8888888888888888,0.2222222222222222,0.3333333333333333,1.0
A320,cruise,B_pqrdot_5ad2694c,2.6115528621226046e-05,0,2,10,0.09090909090909091,1.0,0.2,,,,,0.0,,0.0,,
A320,cruise,B_turbine_windmill_2db8e408,0.0,0,2,10,0.15384615384615385,1.0,0.2,0.3931623931623932,,,,0.0,,0.0,,
A320,throttle_step,B_pqrdot_5ad2694c,2.6938530393268942e-05,0,0,10,0.0,,0.0,,,,,,,,,
A320,throttle_step,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.6239316239316239,,,,,,,,
A320,elev_doublet,B_pqrdot_5ad2694c,4.567756586181369e-05,0,1,10,0.045454545454545456,1.0,0.2,,,,,0.0,1.0,0.0,1.0,
A320,elev_doublet,B_turbine_windmill_2db8e408,0.0,0,1,10,0.0,0.0,0.2,0.29059829059829057,,,,0.0,1.0,0.0,1.0,
A320,elev_step,B_pqrdot_5ad2694c,2.975341137708487e-05,0,0,10,0.0,,0.0,,,,,,,,,
A320,elev_step,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.07692307692307696,,,,,,,,
A320,aileron_step,B_pqrdot_5ad2694c,0.00027918608620762254,0,0,10,0.0,,0.0,,,,,,,,,
A320,aileron_step,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.34188034188034194,,,,,,,,
A320,rudder_doublet,B_pqrdot_5ad2694c,5.1310555110854224e-05,0,8,10,0.36363636363636365,1.0,0.8,,,,,0.25,1.0,0.25,1.0,
A320,rudder_doublet,B_turbine_windmill_2db8e408,0.0,0,8,10,0.46153846153846156,0.75,0.8,0.5811965811965812,,,,0.25,1.0,0.25,1.0,
A320,bank_hold,B_pqrdot_5ad2694c,0.00019084524828474498,0,1,10,0.045454545454545456,1.0,0.2,,,,,0.0,1.0,0.0,1.0,
A320,bank_hold,B_turbine_windmill_2db8e408,0.0,0,1,10,0.07692307692307693,1.0,0.2,0.35897435897435903,,,,0.0,1.0,0.0,1.0,
A320,flap_extend,B_pqrdot_5ad2694c,3.185535556488245e-05,0,3,10,0.13636363636363635,1.0,0.4,,,,,0.0,1.0,0.0,1.0,
A320,flap_extend,B_turbine_windmill_2db8e408,0.0,0,3,10,0.23076923076923078,1.0,0.4,0.47008547008547014,,,,0.0,1.0,0.0,1.0,
A320,engine_cut,B_pqrdot_5ad2694c,2.797408206714506e-05,0,2,10,0.09090909090909091,1.0,0.4,,,,,0.0,0.0,0.0,0.0,
A320,engine_cut,B_turbine_windmill_2db8e408,0.0,0,2,10,0.15384615384615385,1.0,0.4,0.717948717948718,,,,0.0,0.0,0.0,0.0,
A320,climbing_turn,B_pqrdot_5ad2694c,0.0002065815904265424,0,2,10,0.09090909090909091,1.0,0.2,,,,,0.0,1.0,0.0,1.0,
