aircraft,manoeuvre,layer,mode,fault,recall,precision,auc,false_alarm
737,cruise,det,whole,inertia_x1.6,0.0,,,
737,cruise,det,win5,inertia_x1.6,0.045454545454545456,1.0,,
737,cruise,det,win10,inertia_x1.6,0.0,,,
737,cruise,det,whole,cmq_x0.5,0.0,,0.7863247863247863,
737,cruise,det,win5,cmq_x0.5,0.07692307692307693,1.0,0.6153846153846154,
737,cruise,det,win10,cmq_x0.5,0.07692307692307693,1.0,0.6153846153846154,
737,cruise,det,whole,cmalpha_x0.7,0.0,,0.6239316239316239,
737,cruise,det,win5,cmalpha_x0.7,0.07692307692307693,1.0,0.45299145299145305,
737,cruise,det,win10,cmalpha_x0.7,0.0,,0.46153846153846156,
737,cruise,det,whole,clo_+0.1,0.46153846153846156,1.0,0.9401709401709402,
737,cruise,det,win5,clo_+0.1,0.46153846153846156,1.0,0.8974358974358975,
737,cruise,det,win10,clo_+0.1,0.46153846153846156,1.0,0.8717948717948718,
737,cruise,det,whole,noop,,,,0.0
737,cruise,det,win5,noop,,,,0.045454545454545456
737,cruise,det,win10,noop,,,,0.045454545454545456
737,cruise,sig,whole,inertia_x1.6,0.18181818181818182,1.0,,
737,cruise,sig,win5,inertia_x1.6,0.13636363636363635,1.0,,
737,cruise,sig,win10,inertia_x1.6,0.13636363636363635,1.0,,
737,cruise,sig,whole,cmq_x0.5,0.07692307692307693,0.2,0.22222222222222227,
737,cruise,sig,win5,cmq_x0.5,0.0,,0.2905982905982906,
737,cruise,sig,win10,cmq_x0.5,0.0,0.0,0.1965811965811966,
737,cruise,sig,whole,cmalpha_x0.7,0.0,,0.2820512820512821,
737,cruise,sig,win5,cmalpha_x0.7,0.0,,0.38461538461538464,
737,cruise,sig,win10,cmalpha_x0.7,0.0,,0.3760683760683761,
737,cruise,sig,whole,clo_+0.1,0.23076923076923078,0.75,0.5384615384615385,
737,cruise,sig,win5,clo_+0.1,0.15384615384615385,0.4,0.5555555555555556,
737,cruise,sig,win10,clo_+0.1,0.0,0.0,0.47008547008547014,
737,cruise,sig,whole,noop,,,,0.22727272727272727
737,cruise,sig,win5,noop,,,,0.0
737,cruise,sig,win10,noop,,,,0.045454545454545456
737,throttle_step,det,whole,inertia_x1.6,0.09090909090909091,1.0,,
737,throttle_step,det,win5,inertia_x1.6,0.0,,,
737,throttle_step,det,win10,inertia_x1.6,0.0,,,
737,throttle_step,det,whole,cmq_x0.5,0.07692307692307693,1.0,0.46153846153846156,
737,throttle_step,det,win5,cmq_x0.5,0.0,0.0,0.3418803418803419,
737,throttle_step,det,win10,cmq_x0.5,0.0,0.0,0.29914529914529914,
737,throttle_step,det,whole,cmalpha_x0.7,0.23076923076923078,1.0,0.5470085470085471,
737,throttle_step,det,win5,cmalpha_x0.7,0.23076923076923078,1.0,0.5299145299145299,
737,throttle_step,det,win10,cmalpha_x0.7,0.23076923076923078,1.0,0.5128205128205129,
737,throttle_step,det,whole,clo_+0.1,0.46153846153846156,0.75,0.6752136752136753,
737,throttle_step,det,win5,clo_+0.1,0.6153846153846154,0.8,0.6324786324786325,
737,throttle_step,det,win10,clo_+0.1,0.5384615384615384,0.7777777777777778,0.6153846153846154,
737,throttle_step,det,whole,noop,,,,0.045454545454545456
737,throttle_step,det,win5,noop,,,,0.0
737,throttle_step,det,win10,noop,,,,0.045454545454545456
