fault,set,kind,aircraft,test_case,n_matched,n_cand,n_missing,structural,propagated,es1_max,es1_output,es_max,observable,n_observable_outputs,n_flag_05,min_p
B_elevator_drag_8819410c,development,model,737,cruise,10,10,0,False,True,1.4596913607946618,attitude/phi-rad,0.5589220356023351,False,0.0,3.0,0.0007998400319936
B_ground_effect_9c058118,development,model,737,cruise,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1421715656868626
B_pqrdot_5ad2694c,development,cpp,737,cruise,10,10,0,False,True,6.69399760604712e-05,accelerations/qdot-rad_sec2,6.311429781962852e-05,False,0.0,0.0,0.1421715656868626
B_turbine_windmill_2db8e408,development,cpp,737,cruise,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1421715656868626
B2_turbine_throttle_init_c8af9244,heldout,cpp,737,cruise,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1421715656868626
B2_turbine_thruster_inputs_20066483,heldout,cpp,737,cruise,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1421715656868626
B2_wheel_spin_down_8a9fba1c,heldout,cpp,737,cruise,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1421715656868626
B2_sensor_fail_stuck_f543d634,heldout,cpp,737,cruise,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1421715656868626
B2_atmosphere_high_altitude_61f1e8c3,heldout,cpp,737,cruise,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1421715656868626
B2_load_factor_sign_c3fa7d22,heldout,cpp,737,cruise,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1421715656868626
B2_propeller_inflow_angle_82cc3893,heldout,cpp,737,cruise,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1421715656868626
B2_atmosphere_gradient_fadeout_05b709c8,heldout,cpp,737,cruise,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1421715656868626
B_elevator_drag_8819410c,development,model,737,throttle_step,10,10,0,False,True,0.2826271258014596,velocities/h-dot-fps,0.33552228891748,False,0.0,3.0,0.0001999600079984
B_ground_effect_9c058118,development,model,737,throttle_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.035992801439712
B_pqrdot_5ad2694c,development,cpp,737,throttle_step,10,10,0,False,True,6.0225579856274365e-05,accelerations/qdot-rad_sec2,6.110126244803757e-05,False,0.0,1.0,0.035992801439712
B_turbine_windmill_2db8e408,development,cpp,737,throttle_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.035992801439712
B2_turbine_throttle_init_c8af9244,heldout,cpp,737,throttle_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.035992801439712
B2_turbine_thruster_inputs_20066483,heldout,cpp,737,throttle_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.035992801439712
B2_wheel_spin_down_8a9fba1c,heldout,cpp,737,throttle_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.035992801439712
B2_sensor_fail_stuck_f543d634,heldout,cpp,737,throttle_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.035992801439712
B2_atmosphere_high_altitude_61f1e8c3,heldout,cpp,737,throttle_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.035992801439712
B2_load_factor_sign_c3fa7d22,heldout,cpp,737,throttle_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.035992801439712
B2_propeller_inflow_angle_82cc3893,heldout,cpp,737,throttle_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.035992801439712
B2_atmosphere_gradient_fadeout_05b709c8,heldout,cpp,737,throttle_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.035992801439712
B_elevator_drag_8819410c,development,model,737,elev_doublet,10,10,0,False,True,0.9667386220626252,attitude/psi-rad,0.7172006467158482,False,0.0,4.0,0.0003999200159968
B_ground_effect_9c058118,development,model,737,elev_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1153769246150769
B_pqrdot_5ad2694c,development,cpp,737,elev_doublet,10,10,0,False,True,5.0899603550439446e-05,accelerations/rdot-rad_sec2,4.596856791796091e-05,False,0.0,0.0,0.1153769246150769
B_turbine_windmill_2db8e408,development,cpp,737,elev_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1153769246150769
B2_turbine_throttle_init_c8af9244,heldout,cpp,737,elev_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1153769246150769
B2_turbine_thruster_inputs_20066483,heldout,cpp,737,elev_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1153769246150769
B2_wheel_spin_down_8a9fba1c,heldout,cpp,737,elev_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1153769246150769
B2_sensor_fail_stuck_f543d634,heldout,cpp,737,elev_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1153769246150769
B2_atmosphere_high_altitude_61f1e8c3,heldout,cpp,737,elev_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1153769246150769
B2_load_factor_sign_c3fa7d22,heldout,cpp,737,elev_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1153769246150769
B2_propeller_inflow_angle_82cc3893,heldout,cpp,737,elev_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1153769246150769
B2_atmosphere_gradient_fadeout_05b709c8,heldout,cpp,737,elev_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1153769246150769
B_elevator_drag_8819410c,development,model,737,elev_step,10,10,0,False,True,1.3748451274078488,attitude/phi-rad,1.2553413902973931,True,1.0,7.0,0.0001999600079984
B_ground_effect_9c058118,development,model,737,elev_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0475904819036192
B_pqrdot_5ad2694c,development,cpp,737,elev_step,10,10,0,False,True,4.98976670900687e-05,accelerations/qdot-rad_sec2,4.9138516993491626e-05,False,0.0,1.0,0.0475904819036192
B_turbine_windmill_2db8e408,development,cpp,737,elev_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0475904819036192
B2_turbine_throttle_init_c8af9244,heldout,cpp,737,elev_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0475904819036192
B2_turbine_thruster_inputs_20066483,heldout,cpp,737,elev_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0475904819036192
B2_wheel_spin_down_8a9fba1c,heldout,cpp,737,elev_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0475904819036192
B2_sensor_fail_stuck_f543d634,heldout,cpp,737,elev_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0475904819036192
B2_atmosphere_high_altitude_61f1e8c3,heldout,cpp,737,elev_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0475904819036192
B2_load_factor_sign_c3fa7d22,heldout,cpp,737,elev_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0475904819036192
B2_propeller_inflow_angle_82cc3893,heldout,cpp,737,elev_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0475904819036192
B2_atmosphere_gradient_fadeout_05b709c8,heldout,cpp,737,elev_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0475904819036192
B_elevator_drag_8819410c,development,model,737,aileron_step,10,10,0,False,True,0.0243281814193862,accelerations/udot-ft_sec2,0.6821818725804202,False,0.0,3.0,0.0257948410317936
B_ground_effect_9c058118,development,model,737,aileron_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1307738452309538
B_pqrdot_5ad2694c,development,cpp,737,aileron_step,10,10,0,False,True,0.0002081681162727,accelerations/rdot-rad_sec2,0.0001960828958352,False,0.0,0.0,0.1307738452309538
