fault,set,aircraft,test_case,output,p,es,rsd
B_elevator_drag_8819410c,development,737,cruise,position/h-sl-ft,0.7236552689462108,0.1503296570483947,-1.647359604365369
B_elevator_drag_8819410c,development,737,cruise,position/h-agl-ft,0.7404519096180764,0.1503296489290255,-1.6987873672429998
B_elevator_drag_8819410c,development,737,cruise,attitude/phi-rad,0.1609678064387122,0.4948403246548695,0.2062765870676695
B_elevator_drag_8819410c,development,737,cruise,attitude/theta-rad,0.8926214757048591,0.3327487419919562,-0.2759271371450397
B_elevator_drag_8819410c,development,737,cruise,attitude/psi-rad,0.1607678464307138,0.5589220356023351,0.537487991564789
B_elevator_drag_8819410c,development,737,cruise,velocities/u-fps,0.0011997600479904,0.1042925313940691,2.6388087713557877
B_elevator_drag_8819410c,development,737,cruise,velocities/v-fps,0.5016996600679864,0.4114350502974307,-0.0003090125744336
B_elevator_drag_8819410c,development,737,cruise,velocities/w-fps,0.9216156768646272,0.1088597796181142,-0.0999150694795517
B_elevator_drag_8819410c,development,737,cruise,velocities/p-rad_sec,0.562887422515497,0.407621007283255,-0.0702527708831899
B_elevator_drag_8819410c,development,737,cruise,velocities/q-rad_sec,0.5832833433313337,0.2727684606902378,-0.1424876771008355
B_elevator_drag_8819410c,development,737,cruise,velocities/r-rad_sec,0.3643271345730854,0.3404036408338484,0.0912049817773854
B_elevator_drag_8819410c,development,737,cruise,velocities/vc-kts,0.006998600279944,0.2386303923345047,0.6383538858842868
B_elevator_drag_8819410c,development,737,cruise,velocities/vt-fps,0.0007998400319936,0.2103631714632322,0.900108150700299
B_elevator_drag_8819410c,development,737,cruise,velocities/h-dot-fps,0.8324335132973405,0.4953395849280602,-0.2723092822168
B_elevator_drag_8819410c,development,737,cruise,accelerations/pdot-rad_sec2,0.6684663067386523,0.4155669142748686,-0.1376979682740338
B_elevator_drag_8819410c,development,737,cruise,accelerations/qdot-rad_sec2,0.6526694661067787,0.3853673174120833,-0.2373788666690685
B_elevator_drag_8819410c,development,737,cruise,accelerations/rdot-rad_sec2,0.8330333933213357,0.2458386102628958,-0.1831099770572049
B_elevator_drag_8819410c,development,737,cruise,accelerations/udot-ft_sec2,0.8682263547290542,0.3823499419979715,-0.1767203014200988
B_elevator_drag_8819410c,development,737,cruise,accelerations/vdot-ft_sec2,0.24875024995001,0.3485241386360653,0.1148860959780382
B_elevator_drag_8819410c,development,737,cruise,accelerations/wdot-ft_sec2,0.7006598680263947,0.187044439011739,-0.1157849103699053
B_elevator_drag_8819410c,development,737,cruise,aero/alpha-deg,0.50749850029994,0.1168984291896215,0.0006186513964558
B_elevator_drag_8819410c,development,737,cruise,aero/beta-deg,0.742251549690062,0.4128355929937458,-0.1618346019698677
B_ground_effect_9c058118,development,737,cruise,position/h-sl-ft,0.2147570485902819,0.0,0.2450795916809545
B_ground_effect_9c058118,development,737,cruise,position/h-agl-ft,0.2117576484703059,0.0,0.2426838001786082
B_ground_effect_9c058118,development,737,cruise,attitude/phi-rad,0.2563487302539492,0.0,0.1309580294402281
B_ground_effect_9c058118,development,737,cruise,attitude/theta-rad,0.5282943411317736,0.0,-0.0347814904375869
B_ground_effect_9c058118,development,737,cruise,attitude/psi-rad,0.6958608278344331,0.0,-0.4814172420396931
B_ground_effect_9c058118,development,737,cruise,velocities/u-fps,0.171365726854629,0.0,0.2299439972707
B_ground_effect_9c058118,development,737,cruise,velocities/v-fps,0.6426714657068586,0.0,-0.024625676228241
B_ground_effect_9c058118,development,737,cruise,velocities/w-fps,0.757248550289942,0.0,-0.0414447667114055
B_ground_effect_9c058118,development,737,cruise,velocities/p-rad_sec,0.1949610077984403,0.0,0.0594304730046602
B_ground_effect_9c058118,development,737,cruise,velocities/q-rad_sec,0.261747650469906,0.0,0.040985823590771
B_ground_effect_9c058118,development,737,cruise,velocities/r-rad_sec,0.7276544691061788,0.0,-0.061081583804172
B_ground_effect_9c058118,development,737,cruise,velocities/vc-kts,0.1421715656868626,0.0,0.021955310266271
B_ground_effect_9c058118,development,737,cruise,velocities/vt-fps,0.2909418116376724,0.0,-0.0467637167135472
B_ground_effect_9c058118,development,737,cruise,velocities/h-dot-fps,0.5730853829234153,0.0,-0.0215588283250938
B_ground_effect_9c058118,development,737,cruise,accelerations/pdot-rad_sec2,0.3143371325734853,0.0,-0.0043002695064253
B_ground_effect_9c058118,development,737,cruise,accelerations/qdot-rad_sec2,0.1817636472705459,0.0,0.1274477984789954
B_ground_effect_9c058118,development,737,cruise,accelerations/rdot-rad_sec2,0.5138972205558888,0.0,-0.1258266916088939
B_ground_effect_9c058118,development,737,cruise,accelerations/udot-ft_sec2,0.3047390521895621,0.0,-0.0111436254425492
B_ground_effect_9c058118,development,737,cruise,accelerations/vdot-ft_sec2,0.7262547490501899,0.0,-0.0562564580275168
B_ground_effect_9c058118,development,737,cruise,accelerations/wdot-ft_sec2,0.2057588482303539,0.0,0.0428585711684217
B_ground_effect_9c058118,development,737,cruise,aero/alpha-deg,0.6652669466106779,0.0,-0.0116459104655493
B_ground_effect_9c058118,development,737,cruise,aero/beta-deg,0.3679264147170566,0.0,-0.0297298396890741
B_pqrdot_5ad2694c,development,737,cruise,position/h-sl-ft,0.2147570485902819,0.0,0.2450795916809545
B_pqrdot_5ad2694c,development,737,cruise,position/h-agl-ft,0.2117576484703059,0.0,0.2426838001786082
B_pqrdot_5ad2694c,development,737,cruise,attitude/phi-rad,0.2563487302539492,0.0,0.1309580294402281
B_pqrdot_5ad2694c,development,737,cruise,attitude/theta-rad,0.5282943411317736,0.0,-0.0347814904375869
B_pqrdot_5ad2694c,development,737,cruise,attitude/psi-rad,0.6958608278344331,0.0,-0.4814172420396931
B_pqrdot_5ad2694c,development,737,cruise,velocities/u-fps,0.171365726854629,0.0,0.2299439972707
B_pqrdot_5ad2694c,development,737,cruise,velocities/v-fps,0.6426714657068586,0.0,-0.024625676228241
B_pqrdot_5ad2694c,development,737,cruise,velocities/w-fps,0.757248550289942,0.0,-0.0414447667114055
B_pqrdot_5ad2694c,development,737,cruise,velocities/p-rad_sec,0.1949610077984403,0.0,0.0594304730046602
B_pqrdot_5ad2694c,development,737,cruise,velocities/q-rad_sec,0.261747650469906,0.0,0.040985823590771
B_pqrdot_5ad2694c,development,737,cruise,velocities/r-rad_sec,0.7276544691061788,0.0,-0.061081583804172
B_pqrdot_5ad2694c,development,737,cruise,velocities/vc-kts,0.1421715656868626,0.0,0.021955310266271
B_pqrdot_5ad2694c,development,737,cruise,velocities/vt-fps,0.2909418116376724,0.0,-0.0467637167135472
B_pqrdot_5ad2694c,development,737,cruise,velocities/h-dot-fps,0.5730853829234153,0.0,-0.0215588283250938
B_pqrdot_5ad2694c,development,737,cruise,accelerations/pdot-rad_sec2,0.3143371325734853,1.5666044005830456e-05,-0.0043032359524868
B_pqrdot_5ad2694c,development,737,cruise,accelerations/qdot-rad_sec2,0.1817636472705459,6.311429781962852e-05,0.1274508457316341
B_pqrdot_5ad2694c,development,737,cruise,accelerations/rdot-rad_sec2,0.5142971405718856,3.968814969253934e-05,-0.1258790101327176
B_pqrdot_5ad2694c,development,737,cruise,accelerations/udot-ft_sec2,0.3047390521895621,0.0,-0.0111436254425492
B_pqrdot_5ad2694c,development,737,cruise,accelerations/vdot-ft_sec2,0.7262547490501899,0.0,-0.0562564580275168
B_pqrdot_5ad2694c,development,737,cruise,accelerations/wdot-ft_sec2,0.2057588482303539,0.0,0.0428585711684217
B_pqrdot_5ad2694c,development,737,cruise,aero/alpha-deg,0.6652669466106779,0.0,-0.0116459104655493
B_pqrdot_5ad2694c,development,737,cruise,aero/beta-deg,0.3679264147170566,0.0,-0.0297298396890741
B_turbine_windmill_2db8e408,development,737,cruise,position/h-sl-ft,0.2147570485902819,0.0,0.2450795916809545
B_turbine_windmill_2db8e408,development,737,cruise,position/h-agl-ft,0.2117576484703059,0.0,0.2426838001786082
B_turbine_windmill_2db8e408,development,737,cruise,attitude/phi-rad,0.2563487302539492,0.0,0.1309580294402281
B_turbine_windmill_2db8e408,development,737,cruise,attitude/theta-rad,0.5282943411317736,0.0,-0.0347814904375869
B_turbine_windmill_2db8e408,development,737,cruise,attitude/psi-rad,0.6958608278344331,0.0,-0.4814172420396931
B_turbine_windmill_2db8e408,development,737,cruise,velocities/u-fps,0.171365726854629,0.0,0.2299439972707
B_turbine_windmill_2db8e408,development,737,cruise,velocities/v-fps,0.6426714657068586,0.0,-0.024625676228241
B_turbine_windmill_2db8e408,development,737,cruise,velocities/w-fps,0.757248550289942,0.0,-0.0414447667114055
B_turbine_windmill_2db8e408,development,737,cruise,velocities/p-rad_sec,0.1949610077984403,0.0,0.0594304730046602
B_turbine_windmill_2db8e408,development,737,cruise,velocities/q-rad_sec,0.261747650469906,0.0,0.040985823590771
B_turbine_windmill_2db8e408,development,737,cruise,velocities/r-rad_sec,0.7276544691061788,0.0,-0.061081583804172
B_turbine_windmill_2db8e408,development,737,cruise,velocities/vc-kts,0.1421715656868626,0.0,0.021955310266271
B_turbine_windmill_2db8e408,development,737,cruise,velocities/vt-fps,0.2909418116376724,0.0,-0.0467637167135472
B_turbine_windmill_2db8e408,development,737,cruise,velocities/h-dot-fps,0.5730853829234153,0.0,-0.0215588283250938
B_turbine_windmill_2db8e408,development,737,cruise,accelerations/pdot-rad_sec2,0.3143371325734853,0.0,-0.0043002695064253
B_turbine_windmill_2db8e408,development,737,cruise,accelerations/qdot-rad_sec2,0.1817636472705459,0.0,0.1274477984789954
B_turbine_windmill_2db8e408,development,737,cruise,accelerations/rdot-rad_sec2,0.5138972205558888,0.0,-0.1258266916088939
B_turbine_windmill_2db8e408,development,737,cruise,accelerations/udot-ft_sec2,0.3047390521895621,0.0,-0.0111436254425492
B_turbine_windmill_2db8e408,development,737,cruise,accelerations/vdot-ft_sec2,0.7262547490501899,0.0,-0.0562564580275168
B_turbine_windmill_2db8e408,development,737,cruise,accelerations/wdot-ft_sec2,0.2057588482303539,0.0,0.0428585711684217
B_turbine_windmill_2db8e408,development,737,cruise,aero/alpha-deg,0.6652669466106779,0.0,-0.0116459104655493
B_turbine_windmill_2db8e408,development,737,cruise,aero/beta-deg,0.3679264147170566,0.0,-0.0297298396890741
B2_turbine_throttle_init_c8af9244,heldout,737,cruise,position/h-sl-ft,0.2147570485902819,0.0,0.2450795916809545
B2_turbine_throttle_init_c8af9244,heldout,737,cruise,position/h-agl-ft,0.2117576484703059,0.0,0.2426838001786082
B2_turbine_throttle_init_c8af9244,heldout,737,cruise,attitude/phi-rad,0.2563487302539492,0.0,0.1309580294402281
B2_turbine_throttle_init_c8af9244,heldout,737,cruise,attitude/theta-rad,0.5282943411317736,0.0,-0.0347814904375869
B2_turbine_throttle_init_c8af9244,heldout,737,cruise,attitude/psi-rad,0.6958608278344331,0.0,-0.4814172420396931
B2_turbine_throttle_init_c8af9244,heldout,737,cruise,velocities/u-fps,0.171365726854629,0.0,0.2299439972707
B2_turbine_throttle_init_c8af9244,heldout,737,cruise,velocities/v-fps,0.6426714657068586,0.0,-0.024625676228241
B2_turbine_throttle_init_c8af9244,heldout,737,cruise,velocities/w-fps,0.757248550289942,0.0,-0.0414447667114055
