fault,set,kind,aircraft,test_case,n_matched,n_cand,n_missing,structural,propagated,es1_max,es1_output,es_max,observable,n_observable_outputs,n_flag_05,min_p,n_correct_flags,n_flags,n_flags_on_changed,reach,revealed,revealed_any_change,flagged_without_change,qtg,signal_es1,condition
B_elevator_drag_8819410c,development,model,737,cruise,10,10,0,False,True,0.0270535573969312,velocities/p-rad_sec,0.9046687726141242,False,0.0,9.0,0.0013997200559888,0,5,5,True,False,True,False,True,False,no turbulence
B_ground_effect_9c058118,development,model,737,cruise,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,2.0,0.0291941611677664,0,0,0,True,False,False,False,True,False,no turbulence
B_pqrdot_5ad2694c,development,cpp,737,cruise,10,10,0,False,True,0.6977797732176247,accelerations/pdot-rad_sec2,0.7325864307946409,False,0.0,3.0,0.0023995200959808,0,0,0,True,False,False,False,True,False,no turbulence
B_turbine_windmill_2db8e408,development,cpp,737,cruise,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,2.0,0.0291941611677664,0,0,0,True,False,False,False,True,False,no turbulence
B2_turbine_throttle_init_c8af9244,heldout,cpp,737,cruise,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,2.0,0.0291941611677664,0,0,0,True,False,False,False,True,False,no turbulence
B2_turbine_thruster_inputs_20066483,heldout,cpp,737,cruise,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,2.0,0.0291941611677664,0,0,0,True,False,False,False,True,False,no turbulence
B2_wheel_spin_down_8a9fba1c,heldout,cpp,737,cruise,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,2.0,0.0291941611677664,0,0,0,True,False,False,False,True,False,no turbulence
B2_sensor_fail_stuck_f543d634,heldout,cpp,737,cruise,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,2.0,0.0291941611677664,0,0,0,False,False,False,False,True,False,no turbulence
B2_atmosphere_high_altitude_61f1e8c3,heldout,cpp,737,cruise,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,2.0,0.0291941611677664,0,0,0,False,False,False,False,True,False,no turbulence
B2_load_factor_sign_c3fa7d22,heldout,cpp,737,cruise,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,2.0,0.0291941611677664,0,0,0,True,False,False,False,True,False,no turbulence
B2_propeller_inflow_angle_82cc3893,heldout,cpp,737,cruise,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,2.0,0.0291941611677664,0,0,0,False,False,False,False,True,False,no turbulence
B2_atmosphere_gradient_fadeout_05b709c8,heldout,cpp,737,cruise,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,2.0,0.0291941611677664,0,0,0,True,False,False,False,True,False,no turbulence
B_elevator_drag_8819410c,development,model,737,throttle_step,10,10,0,False,True,0.326995737962418,attitude/psi-rad,0.4349284194916308,False,0.0,4.0,0.0001999600079984,0,3,3,True,False,True,False,True,False,no turbulence
B_ground_effect_9c058118,development,model,737,throttle_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1307738452309538,0,0,0,True,False,False,False,True,False,no turbulence
B_pqrdot_5ad2694c,development,cpp,737,throttle_step,10,10,0,False,True,0.0108202719298768,accelerations/qdot-rad_sec2,0.0105137986002851,False,0.0,0.0,0.1299740051989602,0,0,0,True,False,False,False,True,False,no turbulence
B_turbine_windmill_2db8e408,development,cpp,737,throttle_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1307738452309538,0,0,0,True,False,False,False,True,False,no turbulence
B2_turbine_throttle_init_c8af9244,heldout,cpp,737,throttle_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1307738452309538,0,0,0,True,False,False,False,True,False,no turbulence
B2_turbine_thruster_inputs_20066483,heldout,cpp,737,throttle_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1307738452309538,0,0,0,True,False,False,False,True,False,no turbulence
