fault,aircraft,test_case,changed_exec_lines,executed,max_count,reach
B_pqrdot_5ad2694c,737,cruise,5,1,7555,True
B_piston_power_bcd3f980,737,cruise,3,0,0,False
B_turbine_windmill_2db8e408,737,cruise,2,2,2,True
B2_turbine_throttle_init_c8af9244,737,cruise,1,1,2,True
B2_turbine_thruster_inputs_20066483,737,cruise,1,1,22198,True
B2_wheel_spin_down_8a9fba1c,737,cruise,4,4,22665,True
B2_sensor_fail_stuck_f543d634,737,cruise,3,0,0,False
B2_atmosphere_high_altitude_61f1e8c3,737,cruise,5,0,0,False
B2_load_factor_sign_c3fa7d22,737,cruise,1,1,1,True
B2_propeller_inflow_angle_82cc3893,737,cruise,1,0,0,False
B2_atmosphere_gradient_fadeout_05b709c8,737,cruise,3,3,15135,True
B_pqrdot_5ad2694c,737,throttle_step,5,1,7551,True
B_piston_power_bcd3f980,737,throttle_step,3,0,0,False
B_turbine_windmill_2db8e408,737,throttle_step,2,2,2,True
B2_turbine_throttle_init_c8af9244,737,throttle_step,1,1,2,True
B2_turbine_thruster_inputs_20066483,737,throttle_step,1,1,22677,True
B2_wheel_spin_down_8a9fba1c,737,throttle_step,4,4,22653,True
B2_sensor_fail_stuck_f543d634,737,throttle_step,3,0,0,False
B2_atmosphere_high_altitude_61f1e8c3,737,throttle_step,5,0,0,False
B2_load_factor_sign_c3fa7d22,737,throttle_step,1,1,1,True
B2_propeller_inflow_angle_82cc3893,737,throttle_step,1,0,0,False
B2_atmosphere_gradient_fadeout_05b709c8,737,throttle_step,3,3,15127,True
B_pqrdot_5ad2694c,737,elev_doublet,5,1,3955,True
B_piston_power_bcd3f980,737,elev_doublet,3,0,0,False
B_turbine_windmill_2db8e408,737,elev_doublet,2,2,2,True
B2_turbine_throttle_init_c8af9244,737,elev_doublet,1,1,2,True
B2_turbine_thruster_inputs_20066483,737,elev_doublet,1,1,15483,True
B2_wheel_spin_down_8a9fba1c,737,elev_doublet,4,4,11865,True
B2_sensor_fail_stuck_f543d634,737,elev_doublet,3,0,0,False
B2_atmosphere_high_altitude_61f1e8c3,737,elev_doublet,5,0,0,False
B2_load_factor_sign_c3fa7d22,737,elev_doublet,1,1,1,True
B2_propeller_inflow_angle_82cc3893,737,elev_doublet,1,0,0,False
B2_atmosphere_gradient_fadeout_05b709c8,737,elev_doublet,3,3,7935,True
B_pqrdot_5ad2694c,737,elev_step,5,1,7551,True
B_piston_power_bcd3f980,737,elev_step,3,0,0,False
B_turbine_windmill_2db8e408,737,elev_step,2,2,2,True
B2_turbine_throttle_init_c8af9244,737,elev_step,1,1,2,True
B2_turbine_thruster_inputs_20066483,737,elev_step,1,1,22677,True
B2_wheel_spin_down_8a9fba1c,737,elev_step,4,4,22653,True
B2_sensor_fail_stuck_f543d634,737,elev_step,3,0,0,False
B2_atmosphere_high_altitude_61f1e8c3,737,elev_step,5,0,0,False
B2_load_factor_sign_c3fa7d22,737,elev_step,1,1,1,True
B2_propeller_inflow_angle_82cc3893,737,elev_step,1,0,0,False
B2_atmosphere_gradient_fadeout_05b709c8,737,elev_step,3,3,15127,True
B_pqrdot_5ad2694c,737,aileron_step,5,1,3943,True
B_piston_power_bcd3f980,737,aileron_step,3,0,0,False
B_turbine_windmill_2db8e408,737,aileron_step,2,2,2,True
B2_turbine_throttle_init_c8af9244,737,aileron_step,1,1,2,True
