aircraft,manoeuvre,fault,n_flag,base_vsd,es_max,n_gated,phys_R/P,phys_cat,phys_auc,gated_R/P,gated_cat,gated_auc,false_alarm
737,cruise,inertia_x1.6,0,0.612,0.53,0.0,0.00/0.00,0.00/0.00,,-,,,
737,cruise,cmq_x0.5,0,0.612,0.81,0.0,0.00/0.00,0.00/0.00,0.44,-,,,
737,cruise,cmalpha_x0.7,5,0.612,1.7,4.0,0.38/1.00,0.40/1.00,0.62,1.00/0.80,1.00/1.00,0.85,
737,cruise,clo_+0.1,7,0.612,8.29,4.0,0.23/0.43,0.40/1.00,0.57,0.00/0.00,0.50/1.00,0.0,
737,cruise,noop,0,0.612,,,,,,,,,0.0
737,throttle_step,inertia_x1.6,1,0.331,0.81,0.0,0.05/1.00,0.20/1.00,,-,,,
737,throttle_step,cmq_x0.5,4,0.331,1.32,2.0,0.31/1.00,0.40/1.00,0.74,0.00/0.00,0.50/0.50,0.62,
737,throttle_step,cmalpha_x0.7,4,0.331,0.49,0.0,0.31/1.00,0.40/1.00,0.61,-,,,
737,throttle_step,clo_+0.1,4,0.331,14.62,3.0,0.31/1.00,0.60/1.00,0.67,0.33/0.25,0.67/0.67,0.3,
737,throttle_step,noop,1,0.331,,,,,,,,,0.05
737,elev_doublet,inertia_x1.6,0,0.625,4.84,1.0,0.00/0.00,0.00/0.00,,0.00/0.00,0.00/0.00,0.1,
737,elev_doublet,cmq_x0.5,0,0.625,0.35,0.0,0.00/0.00,0.00/0.00,0.67,-,,,
737,elev_doublet,cmalpha_x0.7,1,0.625,0.25,0.0,0.08/1.00,0.20/1.00,0.68,-,,,
737,elev_doublet,clo_+0.1,6,0.625,6.18,3.0,0.31/0.67,0.60/1.00,0.71,0.33/0.17,0.67/0.67,0.26,
737,elev_doublet,noop,0,0.625,,,,,,,,,0.0
737,elev_step,inertia_x1.6,4,0.54,3.65,1.0,0.18/1.00,0.60/1.00,,0.00/0.00,1.00/0.33,0.81,
737,elev_step,cmq_x0.5,3,0.54,0.65,0.0,0.23/1.00,0.40/1.00,0.6,-,,,
737,elev_step,cmalpha_x0.7,5,0.54,1.14,3.0,0.31/0.80,0.60/1.00,0.69,0.33/0.20,0.67/0.67,0.58,
737,elev_step,clo_+0.1,16,0.54,11.33,4.0,0.69/0.56,0.60/1.00,0.5,0.50/0.12,0.75/1.00,0.43,
737,elev_step,noop,3,0.54,,,,,,,,,0.14
