aircraft,manoeuvre,fault,n_flag,base_vsd,es_max,n_gated,phys_R/P,phys_cat,phys_auc,gated_R/P,gated_cat,gated_auc,false_alarm
Boeing314,cruise,inertia_x1.6,0,0.731,1.32,9.0,0.00/0.00,0.00/0.00,,0.00/0.00,0.00/0.00,0.75,
Boeing314,cruise,cmq_x0.5,6,0.731,9.34,8.0,0.31/0.67,0.60/1.00,0.32,0.50/0.67,1.00/1.00,0.55,
Boeing314,cruise,cmalpha_x0.7,3,0.731,2.28,4.0,0.23/1.00,0.20/1.00,0.15,0.00/0.00,0.33/1.00,0.28,
Boeing314,cruise,clo_+0.1,3,0.731,4.73,7.0,0.08/0.33,0.40/1.00,0.06,0.14/0.33,0.50/1.00,0.23,
Boeing314,cruise,noop,0,0.731,,,,,,,,,0.0
Boeing314,throttle_step,inertia_x1.6,0,0.559,0.87,0.0,0.00/0.00,0.00/0.00,,-,,,
Boeing314,throttle_step,cmq_x0.5,7,0.559,3.13,7.0,0.38/0.71,0.60/1.00,0.79,0.29/0.29,0.67/0.67,0.55,
Boeing314,throttle_step,cmalpha_x0.7,9,0.559,1.2,1.0,0.46/0.67,0.60/1.00,0.87,1.00/0.11,1.00/0.33,0.43,
Boeing314,throttle_step,clo_+0.1,8,0.559,1.52,3.0,0.54/0.88,0.80/1.00,0.88,0.67/0.25,1.00/0.75,0.75,
Boeing314,throttle_step,noop,0,0.559,,,,,,,,,0.0
Boeing314,elev_doublet,inertia_x1.6,1,0.7,0.74,0.0,0.05/1.00,0.20/1.00,,-,,,
Boeing314,elev_doublet,cmq_x0.5,3,0.7,1.56,4.0,0.15/0.67,0.40/1.00,0.53,0.00/0.00,0.67/1.00,0.06,
Boeing314,elev_doublet,cmalpha_x0.7,4,0.7,0.91,0.0,0.23/0.75,0.40/1.00,0.57,-,,,
Boeing314,elev_doublet,clo_+0.1,9,0.7,3.12,3.0,0.38/0.56,0.80/1.00,0.24,0.00/0.00,1.00/0.75,0.04,
Boeing314,elev_doublet,noop,3,0.7,,,,,,,,,0.14
Boeing314,elev_step,inertia_x1.6,2,0.717,1.35,9.0,0.09/1.00,0.20/1.00,,0.00/0.00,0.25/1.00,0.68,
Boeing314,elev_step,cmq_x0.5,7,0.717,3.75,9.0,0.38/0.71,0.60/1.00,0.44,0.33/0.43,0.75/1.00,0.4,
Boeing314,elev_step,cmalpha_x0.7,0,0.717,1.43,0.0,0.00/0.00,0.00/0.00,0.38,-,,,
Boeing314,elev_step,clo_+0.1,3,0.717,1.85,5.0,0.15/0.67,0.40/1.00,0.44,0.20/0.33,0.50/1.00,0.24,
Boeing314,elev_step,noop,2,0.717,,,,,,,,,0.09
Boeing314,aileron_step,inertia_x1.6,1,0.661,0.76,0.0,0.05/1.00,0.20/1.00,,-,,,
Boeing314,aileron_step,cmq_x0.5,3,0.661,1.18,1.0,0.00/0.00,0.20/1.00,0.32,0.00/0.00,0.00/0.00,0.71,
Boeing314,aileron_step,cmalpha_x0.7,0,0.661,0.71,0.0,0.00/0.00,0.00/0.00,0.47,-,,,
Boeing314,aileron_step,clo_+0.1,0,0.661,1.18,2.0,0.00/0.00,0.00/0.00,0.7,0.00/0.00,0.00/0.00,0.08,
Boeing314,aileron_step,noop,0,0.661,,,,,,,,,0.0
Boeing314,rudder_doublet,inertia_x1.6,1,0.706,0.77,0.0,0.05/1.00,0.20/1.00,,-,,,
Boeing314,rudder_doublet,cmq_x0.5,2,0.706,4.03,8.0,0.15/1.00,0.40/1.00,0.66,0.00/0.00,0.67/1.00,0.42,
Boeing314,rudder_doublet,cmalpha_x0.7,6,0.706,1.28,4.0,0.46/1.00,0.60/1.00,0.61,0.75/0.50,0.67/0.67,0.56,
Boeing314,rudder_doublet,clo_+0.1,4,0.706,3.03,5.0,0.31/1.00,0.40/1.00,0.49,0.00/0.00,0.50/1.00,0.19,
Boeing314,rudder_doublet,noop,0,0.706,,,,,,,,,0.0
Boeing314,bank_hold,inertia_x1.6,0,0.696,1.02,1.0,0.00/0.00,0.00/0.00,,0.00/0.00,0.00/0.00,0.29,
Boeing314,bank_hold,cmq_x0.5,6,0.696,3.12,8.0,0.31/0.67,0.60/1.00,0.44,0.25/0.33,0.67/0.67,0.39,
Boeing314,bank_hold,cmalpha_x0.7,5,0.696,1.3,2.0,0.15/0.40,0.80/1.00,0.43,0.50/0.20,1.00/0.25,0.3,
Boeing314,bank_hold,clo_+0.1,3,0.696,3.74,10.0,0.15/0.67,0.40/1.00,0.44,0.20/0.67,0.50/1.00,0.42,
Boeing314,bank_hold,noop,0,0.696,,,,,,,,,0.0
Boeing314,flap_extend,inertia_x1.6,5,0.704,1.59,9.0,0.23/1.00,0.20/1.00,,0.22/0.40,0.25/1.00,0.58,
Boeing314,flap_extend,cmq_x0.5,6,0.704,3.91,7.0,0.46/1.00,0.40/1.00,0.71,0.57/0.67,0.67/1.00,0.82,
Boeing314,flap_extend,cmalpha_x0.7,7,0.704,2.87,0.0,0.38/0.71,0.80/1.00,0.34,-,,,
Boeing314,flap_extend,clo_+0.1,3,0.704,1.54,1.0,0.23/1.00,0.40/1.00,0.49,0.00/0.00,0.00/0.00,0.19,
Boeing314,flap_extend,noop,2,0.704,,,,,,,,,0.09
Boeing314,engine_cut,inertia_x1.6,2,0.745,0.87,0.0,0.09/1.00,0.20/1.00,,-,,,
Boeing314,engine_cut,cmq_x0.5,4,0.745,3.18,5.0,0.15/0.50,0.40/1.00,0.4,0.00/0.00,0.33/0.50,0.11,
Boeing314,engine_cut,cmalpha_x0.7,10,0.745,1.29,1.0,0.46/0.60,0.80/1.00,0.61,1.00/0.10,1.00/0.25,0.71,
Boeing314,engine_cut,clo_+0.1,5,0.745,1.84,3.0,0.31/0.80,0.40/1.00,0.52,0.33/0.20,0.67/1.00,0.53,
Boeing314,engine_cut,noop,1,0.745,,,,,,,,,0.05
Boeing314,climbing_turn,inertia_x1.6,2,0.567,1.07,2.0,0.09/1.00,0.40/1.00,,0.00/0.00,1.00/0.50,0.68,
Boeing314,climbing_turn,cmq_x0.5,11,0.567,5.32,9.0,0.69/0.82,0.80/1.00,0.88,0.78/0.64,1.00/1.00,0.75,
Boeing314,climbing_turn,cmalpha_x0.7,3,0.567,1.5,3.0,0.08/0.33,0.60/1.00,0.26,0.00/0.00,1.00/1.00,0.12,
Boeing314,climbing_turn,clo_+0.1,5,0.567,2.14,3.0,0.23/0.60,0.60/1.00,0.68,0.33/0.20,0.33/0.33,0.68,
Boeing314,climbing_turn,noop,1,0.567,,,,,,,,,0.05
Boeing314,elev_doublet_distractor,inertia_x1.6,1,0.713,0.76,0.0,0.05/1.00,0.20/1.00,,-,,,
Boeing314,elev_doublet_distractor,cmq_x0.5,2,0.713,1.95,4.0,0.15/1.00,0.40/1.00,0.76,0.25/0.50,0.67/1.00,0.39,
Boeing314,elev_doublet_distractor,cmalpha_x0.7,4,0.713,0.58,0.0,0.31/1.00,0.40/1.00,0.9,-,,,
Boeing314,elev_doublet_distractor,clo_+0.1,2,0.713,1.72,3.0,0.08/0.50,0.40/1.00,0.68,0.00/0.00,0.33/0.50,0.33,
Boeing314,elev_doublet_distractor,noop,0,0.713,,,,,,,,,0.0
Boeing314,engine_stop,inertia_x1.6,1,0.725,0.56,0.0,0.05/1.00,0.20/1.00,,-,,,
Boeing314,engine_stop,cmq_x0.5,4,0.725,3.21,7.0,0.08/0.25,0.60/1.00,0.3,0.00/0.00,0.67/0.67,0.09,
Boeing314,engine_stop,cmalpha_x0.7,3,0.725,1.17,1.0,0.23/1.00,0.40/1.00,0.61,0.00/0.00,1.00/0.50,0.19,
Boeing314,engine_stop,clo_+0.1,6,0.725,1.3,2.0,0.31/0.67,0.80/1.00,0.46,1.00/0.33,1.00/0.50,0.85,
Boeing314,engine_stop,noop,0,0.725,,,,,,,,,0.0
Camel,cruise,cmq_x0.5,0,0.614,3.9,1.0,0.00/0.00,0.00/0.00,0.26,0.00/0.00,0.00/0.00,0.48,
Camel,cruise,cmalpha_x0.7,8,0.614,10.11,5.0,0.38/0.62,0.40/1.00,0.48,1.00/0.62,1.00/1.00,0.93,
Camel,cruise,clo_+0.1,14,0.614,5.29,5.0,0.54/0.50,0.80/1.00,0.56,0.80/0.29,1.00/1.00,0.89,
Camel,cruise,noop,0,0.614,,,,,,,,,0.0
Camel,throttle_step,cmq_x0.5,4,0.625,2.56,6.0,0.15/0.50,0.60/1.00,0.38,0.33/0.50,1.00/1.00,0.53,
Camel,throttle_step,cmalpha_x0.7,7,0.625,3.66,6.0,0.31/0.57,0.60/1.00,0.33,0.67/0.57,1.00/1.00,0.62,
Camel,throttle_step,clo_+0.1,8,0.625,6.85,7.0,0.38/0.62,0.80/1.00,0.6,0.57/0.50,1.00/1.00,0.75,
Camel,throttle_step,noop,0,0.625,,,,,,,,,0.0
Camel,elev_doublet,cmq_x0.5,0,0.747,1.02,0.0,0.00/0.00,0.00/0.00,0.74,-,,,
Camel,elev_doublet,cmalpha_x0.7,1,0.747,1.44,2.0,0.08/1.00,0.20/1.00,0.82,0.00/0.00,0.00/0.00,0.28,
Camel,elev_doublet,clo_+0.1,1,0.747,2.97,2.0,0.08/1.00,0.20/1.00,0.68,0.50/1.00,0.50/1.00,0.5,
Camel,elev_doublet,noop,1,0.747,,,,,,,,,0.05
Camel,elev_step,cmq_x0.5,5,0.713,2.99,5.0,0.31/0.80,0.60/1.00,0.72,0.40/0.40,0.75/1.00,0.69,
Camel,elev_step,cmalpha_x0.7,18,0.713,244.33,13.0,0.85/0.61,0.80/1.00,0.76,0.85/0.61,0.80/1.00,0.76,
Camel,elev_step,clo_+0.1,14,0.713,2.54,5.0,0.54/0.50,0.80/1.00,0.56,0.80/0.29,1.00/1.00,0.75,
Camel,elev_step,noop,0,0.713,,,,,,,,,0.0
Camel,aileron_step,cmq_x0.5,11,0.608,2.34,3.0,0.38/0.45,0.80/1.00,0.62,1.00/0.27,1.00/0.50,0.67,
Camel,aileron_step,cmalpha_x0.7,9,0.608,1.59,1.0,0.31/0.44,0.80/1.00,0.58,1.00/0.11,1.00/0.25,1.0,
Camel,aileron_step,clo_+0.1,12,0.608,4.07,4.0,0.54/0.58,0.80/1.00,0.65,0.75/0.25,1.00/0.75,0.79,
Camel,aileron_step,noop,0,0.608,,,,,,,,,0.0
Camel,rudder_doublet,cmq_x0.5,0,0.683,0.6,0.0,0.00/0.00,0.00/0.00,0.32,-,,,
Camel,rudder_doublet,cmalpha_x0.7,0,0.683,0.72,0.0,0.00/0.00,0.00/0.00,0.5,-,,,
Camel,rudder_doublet,clo_+0.1,1,0.683,3.94,3.0,0.08/1.00,0.20/1.00,0.53,0.33/1.00,0.33/1.00,1.0,
Camel,rudder_doublet,noop,0,0.683,,,,,,,,,0.0
Camel,bank_hold,cmq_x0.5,2,0.611,2.53,4.0,0.00/0.00,0.20/1.00,0.53,0.00/0.00,0.33/1.00,0.4,
Camel,bank_hold,cmalpha_x0.7,14,0.611,2.65,3.0,0.54/0.50,0.80/1.00,0.62,1.00/0.21,1.00/0.75,0.72,
Camel,bank_hold,clo_+0.1,16,0.611,8.34,4.0,0.62/0.50,0.80/1.00,0.59,1.00/0.25,1.00/0.75,0.83,
Camel,bank_hold,noop,0,0.611,,,,,,,,,0.0
Camel,flap_extend,cmq_x0.5,3,0.615,2.74,1.0,0.15/0.67,0.60/1.00,0.57,1.00/0.33,1.00/0.33,0.76,
Camel,flap_extend,cmalpha_x0.7,1,0.615,7.27,5.0,0.08/1.00,0.20/1.00,0.64,0.20/1.00,0.50/1.00,0.36,
Camel,flap_extend,clo_+0.1,12,0.615,3.59,6.0,0.54/0.58,0.80/1.00,0.64,0.83/0.42,1.00/1.00,0.93,
Camel,flap_extend,noop,1,0.615,,,,,,,,,0.05
Camel,climbing_turn,cmq_x0.5,19,0.509,1.81,11.0,0.77/0.53,0.80/1.00,0.45,0.91/0.53,1.00/1.00,0.62,
Camel,climbing_turn,cmalpha_x0.7,18,0.509,1.8,13.0,0.77/0.56,0.80/1.00,0.43,0.77/0.56,0.80/1.00,0.43,
Camel,climbing_turn,clo_+0.1,14,0.509,1.51,5.0,0.69/0.64,0.80/1.00,0.73,0.60/0.21,1.00/0.50,0.55,
Camel,climbing_turn,noop,0,0.509,,,,,,,,,0.0
Camel,elev_doublet_distractor,cmq_x0.5,0,0.738,0.77,0.0,0.00/0.00,0.00/0.00,0.3,-,,,
Camel,elev_doublet_distractor,cmalpha_x0.7,1,0.738,1.03,2.0,0.08/1.00,0.20/1.00,0.62,0.50/1.00,0.50/1.00,0.9,
Camel,elev_doublet_distractor,clo_+0.1,2,0.738,2.58,2.0,0.08/0.50,0.20/1.00,0.38,0.00/0.00,0.50/1.00,0.5,
Camel,elev_doublet_distractor,noop,1,0.738,,,,,,,,,0.05
Camel,engine_stop,cmq_x0.5,8,0.705,2.82,6.0,0.54/0.88,0.60/1.00,0.62,0.33/0.25,0.67/0.67,0.28,
Camel,engine_stop,cmalpha_x0.7,8,0.705,3.43,13.0,0.31/0.50,0.80/1.00,0.32,0.31/0.50,0.80/1.00,0.32,
Camel,engine_stop,clo_+0.1,18,0.705,2.68,11.0,0.69/0.50,0.80/1.00,0.57,0.82/0.50,1.00/1.00,0.62,
Camel,engine_stop,noop,0,0.705,,,,,,,,,0.0
J3Cub,cruise,cmq_x0.5,5,0.594,1.61,4.0,0.23/0.60,0.40/1.00,0.46,0.75/0.60,1.00/1.00,0.74,
J3Cub,cruise,cmalpha_x0.7,5,0.594,1.54,1.0,0.15/0.40,0.60/1.00,0.39,1.00/0.20,1.00/0.33,0.86,
J3Cub,cruise,clo_+0.1,12,0.594,2.5,3.0,0.46/0.50,0.60/1.00,0.56,0.00/0.00,0.67/0.67,0.0,
J3Cub,cruise,noop,0,0.594,,,,,,,,,0.0
J3Cub,throttle_step,cmq_x0.5,3,0.577,1.37,6.0,0.15/0.67,0.20/1.00,0.61,0.33/0.67,0.33/1.00,0.51,
J3Cub,throttle_step,cmalpha_x0.7,6,0.577,0.78,0.0,0.46/1.00,0.60/1.00,0.77,-,,,
J3Cub,throttle_step,clo_+0.1,6,0.577,1.77,4.0,0.23/0.50,0.60/1.00,0.3,0.00/0.00,0.75/1.00,0.0,
J3Cub,throttle_step,noop,0,0.577,,,,,,,,,0.0
J3Cub,elev_doublet,cmq_x0.5,6,0.619,0.82,0.0,0.23/0.50,0.60/1.00,0.59,-,,,
J3Cub,elev_doublet,cmalpha_x0.7,3,0.619,0.38,0.0,0.23/1.00,0.40/1.00,0.6,-,,,
J3Cub,elev_doublet,clo_+0.1,7,0.619,2.31,3.0,0.31/0.57,0.60/1.00,0.42,0.00/0.00,0.67/0.67,0.0,
J3Cub,elev_doublet,noop,2,0.619,,,,,,,,,0.09
J3Cub,elev_step,cmq_x0.5,16,0.654,2.11,4.0,0.62/0.50,0.80/1.00,0.56,0.75/0.19,1.00/0.75,0.32,
J3Cub,elev_step,cmalpha_x0.7,13,0.654,2.76,2.0,0.69/0.69,0.80/1.00,0.66,0.00/0.00,1.00/0.50,0.0,
J3Cub,elev_step,clo_+0.1,9,0.654,2.09,3.0,0.23/0.33,0.60/1.00,0.5,0.00/0.00,1.00/1.00,0.18,
J3Cub,elev_step,noop,0,0.654,,,,,,,,,0.0
