aircraft,manoeuvre,config,base_vsd,thr,inertia_x1.6,cmq_x0.5,cmalpha_x0.7,clo_+0.1,noop_fa,noop
737,cruise,static,0.612,0.159,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.00 auc 0.44,0.38/1.00 cat 0.40 auc 0.62,0.23/0.43 cat 0.40 auc 0.57,0.0,
737,cruise,lags,0.615,0.156,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.00 auc 0.47,0.38/1.00 cat 0.40 auc 0.62,0.31/0.57 cat 0.40 auc 0.56,0.0,
737,cruise,lags+since,0.615,0.156,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.00 auc 0.47,0.38/1.00 cat 0.40 auc 0.62,0.31/0.57 cat 0.40 auc 0.56,0.0,
737,cruise,since,0.614,0.156,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.00 auc 0.47,0.38/1.00 cat 0.40 auc 0.62,0.31/0.50 cat 0.40 auc 0.56,0.0,
737,throttle_step,static,0.331,0.081,0.05/1.00 cat 0.20 auc nan,0.31/1.00 cat 0.40 auc 0.74,0.31/1.00 cat 0.40 auc 0.61,0.31/1.00 cat 0.60 auc 0.67,0.05,
737,throttle_step,lags,0.261,0.087,0.05/1.00 cat 0.20 auc nan,0.23/1.00 cat 0.60 auc 0.81,0.38/0.83 cat 0.60 auc 0.65,0.38/0.83 cat 0.60 auc 0.62,0.0,
737,throttle_step,lags+since,0.236,0.077,0.14/1.00 cat 0.40 auc nan,0.23/0.75 cat 0.60 auc 0.67,0.38/0.71 cat 0.60 auc 0.56,0.38/0.71 cat 0.60 auc 0.62,0.14,
737,throttle_step,since,0.276,0.082,0.05/1.00 cat 0.20 auc nan,0.31/1.00 cat 0.40 auc 0.76,0.23/1.00 cat 0.40 auc 0.81,0.31/0.67 cat 0.60 auc 0.61,0.0,
737,elev_doublet,static,0.625,0.217,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.00 auc 0.67,0.08/1.00 cat 0.20 auc 0.68,0.31/0.67 cat 0.60 auc 0.71,0.0,
737,elev_doublet,lags,0.587,0.213,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.00 auc 0.68,0.08/1.00 cat 0.20 auc 0.70,0.54/0.78 cat 0.80 auc 0.83,0.0,
737,elev_doublet,lags+since,0.515,0.182,0.09/1.00 cat 0.40 auc nan,0.08/1.00 cat 0.20 auc 0.62,0.08/0.50 cat 0.40 auc 0.60,0.46/0.86 cat 0.80 auc 0.75,0.0,
737,elev_doublet,since,0.53,0.185,0.05/1.00 cat 0.20 auc nan,0.08/1.00 cat 0.20 auc 0.71,0.00/0.00 cat 0.20 auc 0.67,0.31/0.80 cat 0.60 auc 0.57,0.0,
737,elev_step,static,0.54,0.099,0.18/1.00 cat 0.60 auc nan,0.23/1.00 cat 0.40 auc 0.60,0.31/0.80 cat 0.60 auc 0.69,0.69/0.56 cat 0.60 auc 0.50,0.14,
737,elev_step,lags,0.475,0.11,0.09/1.00 cat 0.40 auc nan,0.15/0.50 cat 0.60 auc 0.65,0.31/0.67 cat 0.60 auc 0.83,0.69/0.60 cat 0.60 auc 0.60,0.09,
737,elev_step,lags+since,0.328,0.083,0.27/1.00 cat 0.40 auc nan,0.38/0.83 cat 0.40 auc 0.74,0.62/0.67 cat 0.60 auc 0.91,0.62/0.62 cat 0.80 auc 0.62,0.27,
737,elev_step,since,0.354,0.083,0.14/1.00 cat 0.40 auc nan,0.46/1.00 cat 0.60 auc 0.90,0.69/0.82 cat 0.80 auc 0.95,0.62/0.67 cat 1.00 auc 0.66,0.23,
737,aileron_step,static,0.403,0.144,0.05/1.00 cat 0.20 auc nan,0.08/1.00 cat 0.20 auc 0.51,0.08/0.50 cat 0.20 auc 0.78,0.85/0.65 cat 0.80 auc 0.76,0.05,
