aircraft,manoeuvre,method,fault,recall,precision,cat_recall,cat_precision,auc,n_flagged,flagged,n_gated,gated_recall,gated_precision,gated_auc,false_alarm
737,cruise,sig_static,inertia_x1.6,0.0,,0.0,,,0.0,,0.0,,,,
737,cruise,sig_static,cmq_x0.5,0.0,,0.0,,0.4358974358974359,0.0,,0.0,,,,
737,cruise,sig_static,cmalpha_x0.7,0.38461538461538464,1.0,0.4,1.0,0.6153846153846154,5.0,velocities/q-rad_sec;velocities/h-dot-fps;accelerations/qdot-rad_sec2;accelerations/udot-ft_sec2;accelerations/wdot-ft_sec2,4.0,1.0,0.8,0.8472222222222222,
737,cruise,sig_static,clo_+0.1,0.23076923076923078,0.42857142857142855,0.4,1.0,0.5726495726495726,7.0,velocities/p-rad_sec;velocities/q-rad_sec;velocities/r-rad_sec;velocities/vc-kts;velocities/h-dot-fps;accelerations/rdot-rad_sec2;accelerations/vdot-ft_sec2,4.0,0.0,0.0,0.0,
737,cruise,sig_static,noop,,,,,,,,,,,,0.0
737,cruise,sig_dynamic,inertia_x1.6,0.0,,0.0,,,0.0,,0.0,,,,
737,cruise,sig_dynamic,cmq_x0.5,0.0,,0.0,,0.4700854700854701,0.0,,0.0,,,,
737,cruise,sig_dynamic,cmalpha_x0.7,0.38461538461538464,1.0,0.4,1.0,0.6153846153846154,5.0,velocities/q-rad_sec;velocities/h-dot-fps;accelerations/qdot-rad_sec2;accelerations/udot-ft_sec2;accelerations/wdot-ft_sec2,4.0,1.0,0.8,0.8472222222222222,
737,cruise,sig_dynamic,clo_+0.1,0.3076923076923077,0.5714285714285714,0.4,1.0,0.5641025641025641,7.0,velocities/p-rad_sec;velocities/q-rad_sec;velocities/r-rad_sec;velocities/vc-kts;velocities/h-dot-fps;accelerations/udot-ft_sec2;accelerations/vdot-ft_sec2,4.0,0.0,0.0,0.0,
737,cruise,sig_dynamic,noop,,,,,,,,,,,,0.0
737,cruise,envelope,inertia_x1.6,0.18181818181818182,1.0,0.4,1.0,,4.0,velocities/q-rad_sec;velocities/h-dot-fps;accelerations/vdot-ft_sec2;accelerations/wdot-ft_sec2,0.0,,,,
737,cruise,envelope,cmq_x0.5,0.38461538461538464,0.625,0.4,1.0,0.452991452991453,8.0,velocities/q-rad_sec;velocities/h-dot-fps;accelerations/pdot-rad_sec2;accelerations/qdot-rad_sec2;accelerations/rdot-rad_sec2;accelerations/udot-ft_sec2;accelerations/vdot-ft_sec2;accelerations/wdot-ft_sec2,0.0,,,,
737,cruise,envelope,cmalpha_x0.7,0.3076923076923077,0.8,0.4,1.0,0.5811965811965812,5.0,velocities/p-rad_sec;velocities/q-rad_sec;velocities/h-dot-fps;accelerations/udot-ft_sec2;accelerations/wdot-ft_sec2,4.0,0.75,0.6,0.8194444444444444,
737,cruise,envelope,clo_+0.1,0.6153846153846154,0.6153846153846154,0.8,1.0,0.47863247863247865,13.0,attitude/theta-rad;velocities/v-fps;velocities/w-fps;velocities/q-rad_sec;velocities/h-dot-fps;accelerations/pdot-rad_sec2;accelerations/qdot-rad_sec2;accelerations/rdot-rad_sec2;accelerations/udot-ft_sec2;accelerations/vdot-ft_sec2;accelerations/wdot-ft_sec2;aero/alpha-deg;aero/beta-deg,4.0,1.0,0.3076923076923077,0.9166666666666666,
737,cruise,envelope,noop,,,,,,,,,,,,0.045454545454545456
