aircraft,manoeuvre,fault,explainer,n_flagged,agreement,agreement_null_median,n_explained,correctness,correctness_largest_movement,correctness_only_changing,correctness_residual_importance,stability,n_with_trim_shift
737,throttle_step,inertia_x1.6,dynamic,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,0
737,throttle_step,inertia_x1.6,static,1,0.0,1.0,1,0.0,1.0,1.0,,,0
737,throttle_step,cmq_x0.5,dynamic,6,0.5,1.0,6,0.5,1.0,1.0,0.8333333333333334,0.43333333333333335,0
737,throttle_step,cmq_x0.5,static,6,0.16666666666666666,0.8333333333333334,6,0.5,1.0,1.0,,,0
737,throttle_step,cmalpha_x0.7,dynamic,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,0
737,throttle_step,cmalpha_x0.7,static,1,1.0,1.0,1,1.0,1.0,1.0,,,0
737,throttle_step,clo_+0.1,dynamic,20,0.35,0.75,18,0.6111111111111112,1.0,1.0,0.5555555555555556,0.6055555555555556,18
737,throttle_step,clo_+0.1,static,20,0.2,0.5,18,0.7777777777777778,1.0,1.0,,,18
737,elev_doublet,inertia_x1.6,dynamic,8,0.25,0.5,8,1.0,1.0,1.0,0.875,0.275,0
737,elev_doublet,inertia_x1.6,static,8,0.0,0.5,8,1.0,1.0,1.0,,,0
737,elev_doublet,cmq_x0.5,dynamic,8,0.125,0.375,8,1.0,1.0,1.0,0.875,0.2625,0
737,elev_doublet,cmq_x0.5,static,8,0.0,0.375,8,1.0,1.0,1.0,,,0
737,elev_doublet,cmalpha_x0.7,dynamic,8,0.25,0.25,8,1.0,1.0,1.0,0.75,0.42500000000000004,0
737,elev_doublet,cmalpha_x0.7,static,8,0.125,0.375,8,1.0,1.0,1.0,,,0
737,elev_doublet,clo_+0.1,dynamic,14,0.5,0.7142857142857143,14,1.0,1.0,1.0,0.7142857142857143,0.7357142857142858,14
737,elev_doublet,clo_+0.1,static,14,0.42857142857142855,0.7857142857142857,14,1.0,1.0,1.0,,,14
737,elev_step,inertia_x1.6,dynamic,6,0.6666666666666666,1.0,6,1.0,1.0,1.0,1.0,0.25,0
737,elev_step,inertia_x1.6,static,6,0.5,1.0,6,1.0,1.0,1.0,,,0
737,elev_step,cmq_x0.5,dynamic,10,0.3,0.9,10,0.8,1.0,1.0,1.0,0.41999999999999993,0
737,elev_step,cmq_x0.5,static,10,0.3,1.0,10,0.8,1.0,1.0,,,0
737,elev_step,cmalpha_x0.7,dynamic,13,0.6923076923076923,1.0,13,0.6153846153846154,1.0,1.0,1.0,0.16923076923076924,0
737,elev_step,cmalpha_x0.7,static,13,0.38461538461538464,1.0,13,0.7692307692307693,1.0,1.0,,,0
737,elev_step,clo_+0.1,dynamic,14,0.7857142857142857,1.0,14,0.8571428571428571,1.0,1.0,0.8571428571428571,0.29999999999999993,14
737,elev_step,clo_+0.1,static,14,0.7142857142857143,0.7142857142857143,14,0.7142857142857143,1.0,1.0,,,14
737,aileron_step,inertia_x1.6,dynamic,5,0.2,0.6,5,0.4,1.0,1.0,1.0,0.13999999999999999,0
737,aileron_step,inertia_x1.6,static,5,0.2,0.8,5,0.8,1.0,1.0,,,0
737,aileron_step,cmq_x0.5,dynamic,2,0.5,1.0,2,0.5,1.0,1.0,1.0,0.05,0
737,aileron_step,cmq_x0.5,static,2,0.5,0.5,2,0.0,1.0,1.0,,,0
737,aileron_step,cmalpha_x0.7,dynamic,1,1.0,1.0,1,0.0,1.0,1.0,1.0,0.0,0
737,aileron_step,cmalpha_x0.7,static,1,1.0,1.0,1,1.0,1.0,1.0,,,0
737,aileron_step,clo_+0.1,dynamic,17,0.7058823529411765,0.8823529411764706,15,0.7333333333333333,1.0,1.0,0.5333333333333333,0.3133333333333333,15
737,aileron_step,clo_+0.1,static,17,0.7058823529411765,0.8823529411764706,15,0.9333333333333333,1.0,1.0,,,15
737,rudder_doublet,inertia_x1.6,dynamic,2,0.0,1.0,2,1.0,1.0,1.0,1.0,0.15000000000000002,0
737,rudder_doublet,inertia_x1.6,static,2,0.0,1.0,2,1.0,1.0,1.0,,,0
737,rudder_doublet,cmq_x0.5,dynamic,0,,,0,,,,,,0
737,rudder_doublet,cmq_x0.5,static,0,,,0,,,,,,0
737,rudder_doublet,cmalpha_x0.7,dynamic,1,0.0,1.0,1,1.0,1.0,1.0,1.0,0.2,0
737,rudder_doublet,cmalpha_x0.7,static,1,0.0,1.0,1,1.0,1.0,1.0,,,0
737,rudder_doublet,clo_+0.1,dynamic,6,0.5,0.6666666666666666,6,1.0,1.0,1.0,0.16666666666666666,0.8166666666666665,6
737,rudder_doublet,clo_+0.1,static,6,0.5,0.5,6,1.0,1.0,1.0,,,6
737,bank_hold,inertia_x1.6,dynamic,10,0.1,0.6,10,0.5,1.0,1.0,0.6,0.16999999999999998,0
737,bank_hold,inertia_x1.6,static,10,0.7,0.8,10,1.0,1.0,1.0,,,0
737,bank_hold,cmq_x0.5,dynamic,9,0.5555555555555556,1.0,9,0.1111111111111111,1.0,1.0,0.6666666666666666,0.0,0
737,bank_hold,cmq_x0.5,static,9,0.8888888888888888,1.0,9,0.8888888888888888,1.0,1.0,,,0
737,bank_hold,cmalpha_x0.7,dynamic,8,0.5,1.0,8,0.0,1.0,1.0,0.625,0.0,0
737,bank_hold,cmalpha_x0.7,static,8,1.0,1.0,8,1.0,1.0,1.0,,,0
737,bank_hold,clo_+0.1,dynamic,17,0.5294117647058824,0.5882352941176471,15,0.8,1.0,1.0,0.6,0.5266666666666666,15
737,bank_hold,clo_+0.1,static,17,0.5882352941176471,0.7058823529411765,15,0.9333333333333333,1.0,1.0,,,15
737,flap_extend,inertia_x1.6,dynamic,6,0.16666666666666666,0.6666666666666666,6,0.6666666666666666,1.0,1.0,0.3333333333333333,0.38333333333333336,0
737,flap_extend,inertia_x1.6,static,6,0.0,1.0,6,0.8333333333333334,1.0,1.0,,,0
737,flap_extend,cmq_x0.5,dynamic,8,0.375,0.75,8,0.625,1.0,1.0,0.375,0.6,0
737,flap_extend,cmq_x0.5,static,8,0.375,1.0,8,0.5,1.0,1.0,,,0
737,flap_extend,cmalpha_x0.7,dynamic,7,0.14285714285714285,0.2857142857142857,7,0.8571428571428571,1.0,1.0,0.42857142857142855,0.41428571428571426,0
737,flap_extend,cmalpha_x0.7,static,7,0.14285714285714285,0.7142857142857143,7,0.8571428571428571,1.0,1.0,,,0
737,flap_extend,clo_+0.1,dynamic,18,0.5555555555555556,0.8888888888888888,18,0.6666666666666666,1.0,1.0,0.5,0.35,18
737,flap_extend,clo_+0.1,static,18,0.5,0.8333333333333334,18,0.6111111111111112,1.0,1.0,,,18
737,engine_cut,inertia_x1.6,dynamic,2,0.0,1.0,2,0.0,1.0,1.0,0.5,0.4,0
737,engine_cut,inertia_x1.6,static,2,0.0,1.0,2,0.0,1.0,1.0,,,0
737,engine_cut,cmq_x0.5,dynamic,7,0.2857142857142857,0.7142857142857143,7,0.42857142857142855,1.0,1.0,0.2857142857142857,0.28571428571428575,0
737,engine_cut,cmq_x0.5,static,7,0.14285714285714285,0.7142857142857143,7,0.0,1.0,1.0,,,0
737,engine_cut,cmalpha_x0.7,dynamic,6,0.3333333333333333,0.6666666666666666,6,0.3333333333333333,1.0,1.0,0.16666666666666666,0.3333333333333334,0
737,engine_cut,cmalpha_x0.7,static,6,0.16666666666666666,0.6666666666666666,6,0.0,1.0,1.0,,,0
737,engine_cut,clo_+0.1,dynamic,20,0.65,0.7,20,0.4,1.0,1.0,0.35,0.47000000000000003,20
737,engine_cut,clo_+0.1,static,20,0.45,0.6,20,0.0,1.0,1.0,,,20
737,climbing_turn,inertia_x1.6,dynamic,5,0.2,0.8,5,0.6,0.8,0.8,0.6,0.18,0
737,climbing_turn,inertia_x1.6,static,5,0.0,0.4,5,0.2,0.8,0.8,,,0
737,climbing_turn,cmq_x0.5,dynamic,5,0.2,0.6,5,0.2,0.8,0.8,0.6,0.18,0
737,climbing_turn,cmq_x0.5,static,5,0.2,0.6,5,0.4,0.8,0.8,,,0
737,climbing_turn,cmalpha_x0.7,dynamic,6,0.0,0.6666666666666666,6,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.11666666666666668,0
737,climbing_turn,cmalpha_x0.7,static,6,0.16666666666666666,0.5,6,0.16666666666666666,0.8333333333333334,0.8333333333333334,,,0
737,climbing_turn,clo_+0.1,dynamic,17,0.23529411764705882,0.5882352941176471,17,0.4117647058823529,0.5882352941176471,0.5882352941176471,0.23529411764705882,0.4294117647058824,17
737,climbing_turn,clo_+0.1,static,17,0.17647058823529413,0.4117647058823529,17,0.5882352941176471,0.5882352941176471,0.5882352941176471,,,17
737,elev_doublet_distractor,inertia_x1.6,dynamic,5,0.2,0.6,5,1.0,1.0,1.0,1.0,0.26,0
737,elev_doublet_distractor,inertia_x1.6,static,5,0.0,0.4,5,0.6,1.0,1.0,,,0
737,elev_doublet_distractor,cmq_x0.5,dynamic,5,0.2,0.8,5,0.8,1.0,1.0,1.0,0.18000000000000002,0
737,elev_doublet_distractor,cmq_x0.5,static,5,0.0,0.6,5,0.6,1.0,1.0,,,0
737,elev_doublet_distractor,cmalpha_x0.7,dynamic,2,0.0,0.0,2,1.0,1.0,1.0,1.0,0.35,0
737,elev_doublet_distractor,cmalpha_x0.7,static,2,0.0,0.0,2,0.0,1.0,1.0,,,0
737,elev_doublet_distractor,clo_+0.1,dynamic,14,0.35714285714285715,0.7857142857142857,14,0.6428571428571429,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.5,14
737,elev_doublet_distractor,clo_+0.1,static,14,0.2857142857142857,0.5,14,0.7857142857142857,0.7857142857142857,0.7857142857142857,,,14
