aircraft,manoeuvre,layer,mode,fault,recall,precision,auc,false_alarm
737,cruise,det,whole,inertia_x1.6,0.09090909090909091,1.0,,
737,cruise,det,win5,inertia_x1.6,0.13636363636363635,1.0,,
737,cruise,det,win10,inertia_x1.6,0.13636363636363635,1.0,,
737,cruise,det,whole,cmq_x0.5,0.0,0.0,0.4358974358974359,
737,cruise,det,win5,cmq_x0.5,0.0,0.0,0.5726495726495727,
737,cruise,det,win10,cmq_x0.5,0.07692307692307693,0.25,0.5897435897435898,
737,cruise,det,whole,cmalpha_x0.7,0.3076923076923077,0.5714285714285714,0.7521367521367521,
737,cruise,det,win5,cmalpha_x0.7,0.15384615384615385,0.5,0.8632478632478633,
737,cruise,det,win10,cmalpha_x0.7,0.15384615384615385,0.6666666666666666,0.8888888888888888,
737,cruise,det,whole,clo_+0.1,0.8461538461538461,0.6875,0.9145299145299146,
737,cruise,det,win5,clo_+0.1,0.8461538461538461,0.6875,0.9230769230769231,
737,cruise,det,win10,clo_+0.1,0.8461538461538461,0.6875,0.9316239316239316,
737,cruise,det,whole,noop,,,,0.09090909090909091
737,cruise,det,win5,noop,,,,0.09090909090909091
737,cruise,det,win10,noop,,,,0.13636363636363635
737,cruise,sig,whole,inertia_x1.6,0.0,,,
737,cruise,sig,win5,inertia_x1.6,0.0,,,
737,cruise,sig,win10,inertia_x1.6,0.045454545454545456,1.0,,
737,cruise,sig,whole,cmq_x0.5,0.0,,0.4700854700854701,
737,cruise,sig,win5,cmq_x0.5,0.0,,0.47008547008547014,
737,cruise,sig,win10,cmq_x0.5,0.07692307692307693,1.0,0.5470085470085471,
737,cruise,sig,whole,cmalpha_x0.7,0.38461538461538464,1.0,0.6153846153846154,
737,cruise,sig,win5,cmalpha_x0.7,0.07692307692307693,0.3333333333333333,0.5128205128205128,
737,cruise,sig,win10,cmalpha_x0.7,0.3076923076923077,0.8,0.5299145299145299,
737,cruise,sig,whole,clo_+0.1,0.3076923076923077,0.5714285714285714,0.5641025641025641,
737,cruise,sig,win5,clo_+0.1,0.07692307692307693,0.5,0.41880341880341876,
737,cruise,sig,win10,clo_+0.1,0.15384615384615385,0.5,0.4700854700854701,
737,cruise,sig,whole,noop,,,,0.0
737,cruise,sig,win5,noop,,,,0.0
737,cruise,sig,win10,noop,,,,0.0
737,throttle_step,det,whole,inertia_x1.6,0.045454545454545456,1.0,,
737,throttle_step,det,win5,inertia_x1.6,0.09090909090909091,1.0,,
737,throttle_step,det,win10,inertia_x1.6,0.09090909090909091,1.0,,
737,throttle_step,det,whole,cmq_x0.5,0.46153846153846156,1.0,0.8803418803418803,
737,throttle_step,det,win5,cmq_x0.5,0.5384615384615384,0.875,0.9316239316239315,
737,throttle_step,det,win10,cmq_x0.5,0.5384615384615384,0.875,0.9316239316239315,
737,throttle_step,det,whole,cmalpha_x0.7,0.07692307692307693,1.0,0.8717948717948718,
737,throttle_step,det,win5,cmalpha_x0.7,0.3076923076923077,0.8,0.9145299145299146,
737,throttle_step,det,win10,cmalpha_x0.7,0.23076923076923078,0.75,0.888888888888889,
737,throttle_step,det,whole,clo_+0.1,0.8461538461538461,0.55,0.717948717948718,
737,throttle_step,det,win5,clo_+0.1,0.7692307692307693,0.5263157894736842,0.5213675213675214,
737,throttle_step,det,win10,clo_+0.1,0.7692307692307693,0.5263157894736842,0.5470085470085471,
737,throttle_step,det,whole,noop,,,,0.0
737,throttle_step,det,win5,noop,,,,0.045454545454545456
737,throttle_step,det,win10,noop,,,,0.045454545454545456
737,throttle_step,sig,whole,inertia_x1.6,0.13636363636363635,1.0,,
737,throttle_step,sig,win5,inertia_x1.6,0.0,,,
737,throttle_step,sig,win10,inertia_x1.6,0.13636363636363635,1.0,,
737,throttle_step,sig,whole,cmq_x0.5,0.23076923076923078,0.75,0.6666666666666667,
737,throttle_step,sig,win5,cmq_x0.5,0.3076923076923077,0.6666666666666666,0.8376068376068376,
737,throttle_step,sig,win10,cmq_x0.5,0.38461538461538464,1.0,0.8376068376068376,
737,throttle_step,sig,whole,cmalpha_x0.7,0.38461538461538464,0.7142857142857143,0.5641025641025641,
737,throttle_step,sig,win5,cmalpha_x0.7,0.15384615384615385,0.5,0.7606837606837606,
