aircraft,mission,variant,mode,n_flagged,recall,precision,auc,gated_recall,gated_auc,n_gated,agreement,correctness,n_explained,false_alarm
737,climb_cruise_descend,B_elevator_drag_8819410c,det_whole,7,0.38461538461538464,0.7142857142857143,0.6324786324786325,1.0,1.0,1.0,,,,
737,climb_cruise_descend,B_elevator_drag_8819410c,sig_dynamic_whole,8,0.46153846153846156,0.75,0.5555555555555556,1.0,0.9523809523809523,1.0,0.5714285714285714,,,
737,climb_cruise_descend,B_elevator_drag_8819410c,sig_static_whole,8,0.5384615384615384,0.875,0.6324786324786325,1.0,0.9047619047619048,1.0,0.7142857142857143,,,
737,climb_cruise_descend,B_elevator_drag_8819410c,envelope_whole,9,0.38461538461538464,0.5555555555555556,0.5299145299145299,1.0,1.0,1.0,,,,
737,climb_cruise_descend,B_elevator_drag_8819410c,ks_whole,4,0.15384615384615385,0.5,0.4358974358974359,1.0,0.9523809523809524,1.0,,,,
737,climb_cruise_descend,B_elevator_drag_8819410c,det_win30,7,0.38461538461538464,0.7142857142857143,0.8376068376068376,1.0,1.0,1.0,,,,
737,climb_cruise_descend,B_elevator_drag_8819410c,sig_dynamic_win30,5,0.3076923076923077,0.8,0.8376068376068376,1.0,0.7619047619047619,1.0,,,,
737,climb_cruise_descend,B_elevator_drag_8819410c,det_win120,5,0.23076923076923078,0.6,0.6410256410256411,1.0,1.0,1.0,,,,
737,climb_cruise_descend,B_elevator_drag_8819410c,sig_dynamic_win120,7,0.46153846153846156,0.8571428571428571,0.6666666666666666,1.0,0.8095238095238095,1.0,,,,
737,climb_cruise_descend,B_elevator_drag_8819410c,det_phase:settle,6,0.3076923076923077,0.6666666666666666,0.6923076923076923,1.0,1.0,1.0,,,,
737,climb_cruise_descend,B_elevator_drag_8819410c,det_phase:climb,5,0.3076923076923077,0.8,0.49572649572649574,1.0,1.0,1.0,,0.6,5.0,
737,climb_cruise_descend,B_elevator_drag_8819410c,det_phase:turn,5,0.38461538461538464,1.0,0.6324786324786325,1.0,0.8095238095238095,1.0,,0.0,5.0,
737,climb_cruise_descend,B_elevator_drag_8819410c,det_phase:cruise,5,0.38461538461538464,1.0,0.6923076923076923,0.0,0.5238095238095238,1.0,,,,
737,climb_cruise_descend,B_elevator_drag_8819410c,det_phase:slow,5,0.23076923076923078,0.6,0.4786324786324786,1.0,0.9047619047619048,1.0,,0.8,5.0,
737,climb_cruise_descend,B_elevator_drag_8819410c,det_phase:descend,3,0.23076923076923078,1.0,0.8205128205128206,1.0,1.0,1.0,,1.0,3.0,
737,climb_cruise_descend,B_elevator_drag_8819410c,det_phase:turnback,2,0.15384615384615385,1.0,0.5555555555555556,1.0,0.8095238095238095,1.0,,0.0,2.0,
737,climb_cruise_descend,B_elevator_drag_8819410c,det_phase:level,1,0.07692307692307693,1.0,0.5897435897435896,0.0,0.09523809523809523,1.0,,,,
737,climb_cruise_descend,B_elevator_drag_8819410c,det_phase_any,13,0.6923076923076923,0.6923076923076923,0.5,1.0,0.5,1.0,,,,
737,climb_cruise_descend,B_elevator_drag_8819410c,det_phase_max,7,0.3076923076923077,0.5714285714285714,0.7094017094017093,1.0,1.0,1.0,,,,
737,climb_cruise_descend,B_elevator_drag_8819410c,sig_dynamic_phase:settle,1,0.07692307692307693,1.0,0.24786324786324787,1.0,0.9999999999999999,1.0,,,,
737,climb_cruise_descend,B_elevator_drag_8819410c,sig_dynamic_phase:climb,4,0.3076923076923077,1.0,0.7606837606837606,1.0,1.0,1.0,,,,
737,climb_cruise_descend,B_elevator_drag_8819410c,sig_dynamic_phase:turn,3,0.15384615384615385,0.6666666666666666,0.6495726495726495,0.0,0.1428571428571429,1.0,,,,
737,climb_cruise_descend,B_elevator_drag_8819410c,sig_dynamic_phase:cruise,2,0.15384615384615385,1.0,0.7521367521367521,0.0,0.7619047619047619,1.0,,,,
737,climb_cruise_descend,B_elevator_drag_8819410c,sig_dynamic_phase:slow,5,0.3076923076923077,0.8,0.5982905982905983,0.0,0.09523809523809523,1.0,,,,
737,climb_cruise_descend,B_elevator_drag_8819410c,sig_dynamic_phase:descend,4,0.23076923076923078,0.75,0.6153846153846154,0.0,0.7619047619047619,1.0,,,,
737,climb_cruise_descend,B_elevator_drag_8819410c,sig_dynamic_phase:turnback,7,0.38461538461538464,0.7142857142857143,0.41880341880341876,1.0,0.8095238095238095,1.0,,,,
737,climb_cruise_descend,B_elevator_drag_8819410c,sig_dynamic_phase:level,0,0.0,,0.41025641025641024,0.0,0.6666666666666667,1.0,,,,
