aircraft,manoeuvre,setting,fault,recall,precision,auc,base_score
737,cruise,det_n10,inertia_x1.6,0.0,,,82.13738182622174
737,cruise,det_n10,cmq_x0.5,0.0,,0.5982905982905984,82.13738182622174
737,cruise,det_n10,cmalpha_x0.7,0.3076923076923077,0.8,0.5726495726495726,82.13738182622174
737,cruise,det_n10,clo_+0.1,0.6153846153846154,0.6666666666666666,0.6581196581196581,82.13738182622174
737,cruise,det_n20,inertia_x1.6,0.09090909090909091,1.0,,17.954954979592447
737,cruise,det_n20,cmq_x0.5,0.0,0.0,0.4358974358974359,17.954954979592447
737,cruise,det_n20,cmalpha_x0.7,0.3076923076923077,0.5714285714285714,0.7521367521367521,17.954954979592447
737,cruise,det_n20,clo_+0.1,0.8461538461538461,0.6875,0.9145299145299146,17.954954979592447
737,cruise,det_n5,inertia_x1.6,0.09090909090909091,1.0,,280.02149198518737
737,cruise,det_n5,cmq_x0.5,0.07692307692307693,0.3333333333333333,0.3162393162393162,280.02149198518737
737,cruise,det_n5,cmalpha_x0.7,0.23076923076923078,0.5,0.3675213675213676,280.02149198518737
737,cruise,det_n5,clo_+0.1,0.46153846153846156,0.8571428571428571,0.547008547008547,280.02149198518737
737,cruise,det_lags_1,inertia_x1.6,0.09090909090909091,1.0,,11.786512107564137
737,cruise,det_lags_1,cmq_x0.5,0.0,0.0,0.4188034188034188,11.786512107564137
737,cruise,det_lags_1,cmalpha_x0.7,0.23076923076923078,0.42857142857142855,0.7350427350427351,11.786512107564137
737,cruise,det_lags_1,clo_+0.1,0.8461538461538461,0.6875,0.9145299145299146,11.786512107564137
737,cruise,det_lags_long,inertia_x1.6,0.09090909090909091,1.0,,19.105560701722894
737,cruise,det_lags_long,cmq_x0.5,0.0,0.0,0.4102564102564103,19.105560701722894
737,cruise,det_lags_long,cmalpha_x0.7,0.3076923076923077,0.5714285714285714,0.7606837606837606,19.105560701722894
737,cruise,det_lags_long,clo_+0.1,0.8461538461538461,0.6875,0.9230769230769231,19.105560701722894
737,cruise,det_5hz,inertia_x1.6,0.045454545454545456,1.0,,33.97823620337113
737,cruise,det_5hz,cmq_x0.5,0.0,0.0,0.6324786324786325,33.97823620337113
