aircraft,manoeuvre,method,fault,n_outputs,n_oracle,recall_at3,recall_at5,ap,inspect_before_first,top_is_affected,n_flagged,any_correct_flag,reduction
737,aileron_step,envelope,clo_+0.1,22,13,0.23076923076923078,0.3076923076923077,0.6734198060942524,1,True,14,True,0.36363636363636365
737,aileron_step,envelope,cmalpha_x0.7,22,13,0.23076923076923078,0.38461538461538464,0.8434201419495537,1,True,0,False,1.0
737,aileron_step,envelope,cmq_x0.5,22,13,0.23076923076923078,0.38461538461538464,0.8788433788433789,1,True,3,True,0.8636363636363636
737,aileron_step,envelope,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,5,True,0.7727272727272727
737,aileron_step,iforest,clo_+0.1,22,13,0.07692307692307693,0.23076923076923078,0.6393935914446751,2,False,22,True,0.0
737,aileron_step,iforest,cmalpha_x0.7,22,13,0.23076923076923078,0.3076923076923077,0.7317637427931546,1,True,0,False,1.0
737,aileron_step,iforest,cmq_x0.5,22,13,0.15384615384615385,0.15384615384615385,0.5638302503508504,2,False,0,False,1.0
737,aileron_step,iforest,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,0,False,1.0
737,aileron_step,ks,clo_+0.1,22,13,0.23076923076923078,0.38461538461538464,0.7670759065495909,1,True,8,True,0.6363636363636364
737,aileron_step,ks,cmalpha_x0.7,22,13,0.23076923076923078,0.38461538461538464,0.7853262836234974,1,True,2,True,0.9090909090909091
737,aileron_step,ks,cmq_x0.5,22,13,0.23076923076923078,0.38461538461538464,0.790152829626514,1,True,6,True,0.7272727272727273
737,aileron_step,ks,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,3,True,0.8636363636363636
737,aileron_step,regression,clo_+0.1,22,13,0.23076923076923078,0.3076923076923077,0.7392370787107629,1,True,17,True,0.2272727272727273
737,aileron_step,regression,cmalpha_x0.7,22,13,0.23076923076923078,0.38461538461538464,0.7875887270624115,1,True,1,True,0.9545454545454546
737,aileron_step,regression,cmq_x0.5,22,13,0.23076923076923078,0.38461538461538464,0.7420570528542665,1,True,2,True,0.9090909090909091
