fault,set,aircraft,test_case,output,p,es,rsd
B_elevator_drag_8819410c,development,737,cruise,position/h-sl-ft,0.863627274545091,0.0091818913539406,-35.15423799865598
B_elevator_drag_8819410c,development,737,cruise,position/h-agl-ft,0.8394321135772845,0.0091818913534599,-32.71849412030262
B_elevator_drag_8819410c,development,737,cruise,attitude/phi-rad,0.0533893221355728,0.0142519546505766,0.6594905175733956
B_elevator_drag_8819410c,development,737,cruise,attitude/theta-rad,0.0711857628474305,0.021135070549802,0.5977952779080904
B_elevator_drag_8819410c,development,737,cruise,attitude/psi-rad,0.010997800439912,0.0418679491274172,0.1814801031851776
B_elevator_drag_8819410c,development,737,cruise,velocities/u-fps,0.0021995600879824,0.0036488393819799,59.00674944983827
B_elevator_drag_8819410c,development,737,cruise,velocities/v-fps,0.036992601479704,0.1141717944418214,0.5850904821703041
B_elevator_drag_8819410c,development,737,cruise,velocities/w-fps,0.1255748850229954,0.0149654051274396,13.696327241565015
B_elevator_drag_8819410c,development,737,cruise,velocities/p-rad_sec,0.1165766846630673,0.6755638323085025,0.1211666040412757
B_elevator_drag_8819410c,development,737,cruise,velocities/q-rad_sec,0.130373925214957,0.4513587449716603,0.0812180311504686
B_elevator_drag_8819410c,development,737,cruise,velocities/r-rad_sec,0.0013997200559888,0.8890055398911002,0.4438916404519823
B_elevator_drag_8819410c,development,737,cruise,velocities/vc-kts,0.0065986802639472,0.0060398206779633,37.04833545645271
B_elevator_drag_8819410c,development,737,cruise,velocities/vt-fps,0.0021995600879824,0.003650605934657,60.38879033290261
B_elevator_drag_8819410c,development,737,cruise,velocities/h-dot-fps,0.0233953209358128,0.3558227778048629,1.0704492681464224
B_elevator_drag_8819410c,development,737,cruise,accelerations/pdot-rad_sec2,0.9962007598480304,0.8134279616275087,-0.6055937004925499
B_elevator_drag_8819410c,development,737,cruise,accelerations/qdot-rad_sec2,0.6242751449710058,0.4266330303542563,-0.1468505987841701
B_elevator_drag_8819410c,development,737,cruise,accelerations/rdot-rad_sec2,0.375124975004999,0.8148546820474448,0.0072631400358842
B_elevator_drag_8819410c,development,737,cruise,accelerations/udot-ft_sec2,0.3703259348130374,0.4337477508728952,-0.2678356086142024
B_elevator_drag_8819410c,development,737,cruise,accelerations/vdot-ft_sec2,0.3321335732853429,0.9046687726141242,0.0023863597566782
B_elevator_drag_8819410c,development,737,cruise,accelerations/wdot-ft_sec2,0.0315936812637472,0.5028527748380398,0.1348005064537329
B_elevator_drag_8819410c,development,737,cruise,aero/alpha-deg,0.1355728854229154,0.0149852275269092,10.9769379281296
B_elevator_drag_8819410c,development,737,cruise,aero/beta-deg,0.0313937212557488,0.1140752871747752,0.5875100385327605
B_ground_effect_9c058118,development,737,cruise,position/h-sl-ft,0.1625674865026994,0.0,16.110405249087577
B_ground_effect_9c058118,development,737,cruise,position/h-agl-ft,0.1735652869426114,0.0,15.246348948915076
B_ground_effect_9c058118,development,737,cruise,attitude/phi-rad,0.4717056588682263,0.0,-0.0686595000681253
B_ground_effect_9c058118,development,737,cruise,attitude/theta-rad,0.3163367326534693,0.0,-0.2404625379076872
B_ground_effect_9c058118,development,737,cruise,attitude/psi-rad,0.5152969406118776,0.0,0.0280755336255489
B_ground_effect_9c058118,development,737,cruise,velocities/u-fps,0.3615276944611078,0.0,-2.36445198495256
B_ground_effect_9c058118,development,737,cruise,velocities/v-fps,0.03499300139972,0.0,0.6085020561884963
B_ground_effect_9c058118,development,737,cruise,velocities/w-fps,0.1977604479104179,0.0,7.61834081295099
B_ground_effect_9c058118,development,737,cruise,velocities/p-rad_sec,0.2015596880623875,0.0,0.1339745729970511
B_ground_effect_9c058118,development,737,cruise,velocities/q-rad_sec,0.8132373525294941,0.0,-0.0554277817095698
B_ground_effect_9c058118,development,737,cruise,velocities/r-rad_sec,0.0943811237752449,0.0,0.0484381088744276
B_ground_effect_9c058118,development,737,cruise,velocities/vc-kts,0.2333533293341331,0.0,2.8261503081922648
B_ground_effect_9c058118,development,737,cruise,velocities/vt-fps,0.3259348130373925,0.0,-1.3876221350392868
B_ground_effect_9c058118,development,737,cruise,velocities/h-dot-fps,0.5698860227954409,0.0,-0.2310491176278581
B_ground_effect_9c058118,development,737,cruise,accelerations/pdot-rad_sec2,0.0929814037192561,0.0,0.2696118688848072
B_ground_effect_9c058118,development,737,cruise,accelerations/qdot-rad_sec2,0.7802439512097581,0.0,-0.1220389691821353
B_ground_effect_9c058118,development,737,cruise,accelerations/rdot-rad_sec2,0.9174165166966608,0.0,-0.05534118408427
B_ground_effect_9c058118,development,737,cruise,accelerations/udot-ft_sec2,0.6782643471305739,0.0,-0.7937114993534085
B_ground_effect_9c058118,development,737,cruise,accelerations/vdot-ft_sec2,0.8874225154969007,0.0,-0.0920239261586148
B_ground_effect_9c058118,development,737,cruise,accelerations/wdot-ft_sec2,0.7164567086582684,0.0,-0.2993493519887994
B_ground_effect_9c058118,development,737,cruise,aero/alpha-deg,0.2005598880223955,0.0,6.259558566491151
B_ground_effect_9c058118,development,737,cruise,aero/beta-deg,0.0291941611677664,0.0,0.634477483917675
B_pqrdot_5ad2694c,development,737,cruise,position/h-sl-ft,0.1625674865026994,0.0,16.110405249087577
B_pqrdot_5ad2694c,development,737,cruise,position/h-agl-ft,0.1735652869426114,0.0,15.246348948915076
B_pqrdot_5ad2694c,development,737,cruise,attitude/phi-rad,0.4717056588682263,0.0,-0.0686595000681253
B_pqrdot_5ad2694c,development,737,cruise,attitude/theta-rad,0.3163367326534693,0.0,-0.2404625379076872
B_pqrdot_5ad2694c,development,737,cruise,attitude/psi-rad,0.5152969406118776,0.0,0.0280755336255489
B_pqrdot_5ad2694c,development,737,cruise,velocities/u-fps,0.3615276944611078,0.0,-2.36445198495256
B_pqrdot_5ad2694c,development,737,cruise,velocities/v-fps,0.03499300139972,0.0,0.6085020561884963
B_pqrdot_5ad2694c,development,737,cruise,velocities/w-fps,0.1977604479104179,0.0,7.61834081295099
B_pqrdot_5ad2694c,development,737,cruise,velocities/p-rad_sec,0.2015596880623875,0.0,0.1339745729970511
B_pqrdot_5ad2694c,development,737,cruise,velocities/q-rad_sec,0.8132373525294941,0.0,-0.0554277817095698
B_pqrdot_5ad2694c,development,737,cruise,velocities/r-rad_sec,0.0943811237752449,0.0,0.0484381088744276
B_pqrdot_5ad2694c,development,737,cruise,velocities/vc-kts,0.2333533293341331,0.0,2.8261503081922648
B_pqrdot_5ad2694c,development,737,cruise,velocities/vt-fps,0.3259348130373925,0.0,-1.3876221350392868
B_pqrdot_5ad2694c,development,737,cruise,velocities/h-dot-fps,0.5698860227954409,0.0,-0.2310491176278581
B_pqrdot_5ad2694c,development,737,cruise,accelerations/pdot-rad_sec2,0.0023995200959808,0.7325864307946409,0.7253144049544893
B_pqrdot_5ad2694c,development,737,cruise,accelerations/qdot-rad_sec2,0.7802439512097581,1.5012347476055622e-05,-0.1220378605431635
